"","Times","P","I"
"1",0,1,1
"2",1,1.05140194624887,0.995139301985699
"3",2,1.10570331254081,0.990563678004313
"4",3,1.16306847595994,0.98628444005673
"5",4,1.22366245210933,0.982313275850816
"6",5,1.28765864816134,0.978662812859801
"7",6,1.3552374440649,0.975346566241008
"8",7,1.42658712763013,0.97237915401924
"9",8,1.50190248645236,0.969776212934864
"10",9,1.58138489513613,0.967554523582095
"11",10,1.6652420824803,0.965732114614262
"12",11,1.75368760281265,0.964328353064649
"13",12,1.84694020543892,0.963364047729441
"14",13,1.94522304264125,0.962861561594185
"15",14,2.04876268656714,0.962844933274362
"16",15,2.15778792805296,0.963340008116684
"17",16,2.27252837341824,0.964374575366225
"18",17,2.39321259783064,0.965978531684922
"19",18,2.52006616544388,0.968184036826005
"20",19,2.6533092575092,0.9710256863676
"21",20,2.79315382715286,0.974540702876043
"22",21,2.9398003536315,0.978769135109253
"23",22,3.09343411438216,0.983754069368177
"24",23,3.25422088277695,0.989541853492029
"25",24,3.4223020691825,0.996182330888458
"26",25,3.5977892216745,1.0037290844155
"27",26,3.78075783036955,1.01223968791804
"28",27,3.97124040568946,1.02177596242353
"29",28,4.16921879965501,1.03240423280069
"30",29,4.37461574164086,1.0441955796575
"31",30,4.58728558118259,1.05722607943
"32",31,4.80700425146234,1.07157702361672
"33",32,5.03345849462266,1.08733510568084
"34",33,5.26623442595937,1.10459256128304
"35",34,5.50480555903246,1.12344724414906
"36",35,5.74852046915963,1.14400261601918
"37",36,5.99659034431938,1.1663676241696
"38",37,6.24807672873008,1.19065643717759
"39",38,6.50187990218808,1.21698800403729
"40",39,6.75672838841777,1.24548539098736
"41",40,7.01117023077405,1.27627485343199
"42",41,7.26356678219031,1.30948459316187
"43",42,7.51208986877471,1.34524314607065
"44",43,7.75472329494493,1.38367734632123
"45",44,7.98926974050818,1.42490981510903
"46",45,8.21336414419816,1.46905592894618
"47",46,8.42449465385303,1.51622023513194
"48",47,8.62003212882703,1.56649230217231
"49",48,8.79726880958095,1.61994203065527
"50",49,8.95346738418857,1.67661443652292
"51",50,9.08591923765346,1.73652408403998
"52",51,9.19201195311923,1.79964927794488
