"","Time","P","I"
"1",0,10,10
"2",0.1,11.5953127742708,29.6226405326511
"3",0.2,13.4190196999414,48.8814154174772
"4",0.3,15.4999441707139,67.7902555776185
"5",0.4,17.870048692863,86.3641043939887
"6",0.5,20.5646667408839,104.619082712303
"7",0.6,23.6228031622654,122.572691023768
"8",0.7,27.0874154438463,140.244024647435
"9",0.8,31.0057368109202,157.654039845755
"10",0.9,35.4295556612569,174.825815708525
"11",1,40.4155324284519,191.784880727911
"12",1.1,46.0254975179706,208.559568927216
"13",1.2,52.3267306596164,225.181423247266
"14",1.3,59.3922146375431,241.685652337166
"15",1.4,67.3008449330572,258.111648074745
"16",1.5,76.1375764991756,274.503572963021
"17",1.6,85.9934830622714,290.911028018617
"18",1.7,96.9656978422296,307.389813467701
"19",1.8,109.157197079618,324.002796533541
"20",1.9,122.676378503761,340.820902747655
"21",2,137.636375939432,357.924249530554
"22",2.1,154.154038408725,375.4034431693
"23",2.2,172.348487222856,393.361062594219
"24",2.3,192.339147707984,411.913355241549
"25",2.4,214.243148035161,431.192166541043
"26",2.5,238.171880840703,451.347151223449
"27",2.6,264.226664904352,472.548249922215
"28",2.7,292.49327206951,494.988475063102
"29",2.8,323.03511211316,518.887002349418
"30",2.9,355.884907660212,544.492543401072
"31",3,391.034679251247,572.086935436698
"32",3.1,428.423898273793,601.98883081568
"33",3.2,467.925760252791,634.557278823277
"34",3.3,509.331677011654,670.194867120703
"35",3.4,552.334319147288,709.349916596931
"36",3.5,596.509885450399,752.516992073473
"37",3.6,641.300757417756,800.234697440773
"38",3.7,686.000330235585,853.079375402456
"39",3.8,729.742584883179,911.652960025153
"40",3.9,771.499817985546,976.562905382136
"41",4,810.092733590107,1048.39196454896
"42",4.1,844.217566898646,1127.65582154457
"43",4.2,872.494667182159,1214.74745453684
"44",4.3,893.541531823837,1309.86892361952
"45",4.4,906.070198337593,1412.9542280303
"46",4.5,909.003980263748,1523.59087061958
"47",4.6,901.602203018815,1640.95217372022
"48",4.7,883.575199593764,1763.75589458233
"49",4.8,855.167622338958,1890.26542795539
"50",4.9,817.188707169613,2018.34607297219
"51",5,770.975201571468,2145.57982187668
"52",5.1,718.285696880227,2269.42935352553
"53",5.2,661.140697871681,2387.42908474033
"54",5.3,601.635656187739,2497.37293744106
"55",5.4,541.759639971198,2597.46835082886
"56",5.5,483.248515100687,2686.43427689489
"57",5.6,427.490491607337,2763.53433664464
"58",5.7,375.488200957715,2828.55014736302
"59",5.8,327.86979083025,2881.70986239919
"60",5.9,284.934671819409,2923.59124667362
"61",6,246.717915210484,2955.01760337902
"62",6.1,213.05951901514,2976.96050534042
"63",6.2,183.668726439706,2990.45788517208
"64",6.3,158.17875745106,2996.55034106181
"65",6.4,136.18802172626,2996.23696140058
"66",6.5,117.291210822882,2990.44615389245
"67",6.6,101.099046013071,2980.02038492734
"68",6.7,87.2505937910275,2965.70993561645
"69",6.8,75.4194805594035,2948.17346640909
"70",6.9,65.3160409909903,2927.98271539129
"71",7,56.6867606608987,2905.62961194268
"72",7.1,49.3120959554564,2881.53450213428
"73",7.2,43.0034228890703,2856.05463173442
"74",7.3,37.5996410268428,2829.49232358848
"75",7.4,32.9637637377807,2802.10255269522
"76",7.5,28.9796703911882,2774.0997816849
"77",7.6,25.5491403142729,2745.66398653792
"78",7.7,22.5891929698559,2716.94593673668
"79",7.8,20.0297793942438,2688.07168786997
"80",7.9,17.8117695001021,2659.14646523038
"81",8,15.8852359358956,2630.25794366942
"82",8.1,14.2079928833014,2601.47902735647
"83",8.2,12.7443594547753,2572.87019566064
"84",8.3,11.4641296934939,2544.48145471987
"85",8.4,10.3416916706261,2516.35400841592
"86",8.5,9.35529256522394,2488.52165391811
"87",8.6,8.48642915836869,2461.01194077362
"88",8.7,7.71933557733155,2433.84714949481
"89",8.8,7.04055318875891,2407.04511594882
"90",8.9,6.43857144186434,2380.6199226362
"91",9,5.90352631465449,2354.58248183007
"92",9.1,5.42694858818668,2328.94102474611
"93",9.2,5.00155202307093,2303.70151529836
"94",9.3,4.62105572346452,2278.86799899056
"95",9.4,4.28003444600328,2254.44289840268
"96",9.5,3.97379264468541,2230.42726322952
"97",9.6,3.69825823855081,2206.82098225235
"98",9.7,3.44989281361862,2183.62296348933
"99",9.8,3.22561563670612,2160.83128738385
"100",9.9,3.02273922668706,2138.44333732865
"101",10,2.83891464151696,2116.45591100026
"102",10.1,2.67208493090631,2094.86531546585
"103",10.2,2.52044546578029,2073.66744853537
"104",10.3,2.38241006905316,2052.85786843121
"105",10.4,2.25658204717905,2032.43185352419
"106",10.5,2.14172936934302,2012.38445360549
"107",10.6,2.03676336244435,1992.71053393619
"108",10.7,1.94072039144562,1973.4048131231
"109",10.8,1.85274607898808,1954.46189570876
"110",10.9,1.7720816885187,1935.87630022854
"111",11,1.69805235394211,1917.64248337434
"112",11.1,1.63005688794313,1899.75486080878
"113",11.2,1.56755894228428,1882.20782509366
"114",11.3,1.51007932790211,1864.99576112847
"115",11.4,1.45718933162468,1848.11305943739
"116",11.5,1.4085048907296,1831.5541275946
"117",11.6,1.36368150711982,1815.31340003672
"118",11.7,1.3224098002433,1799.38534647599
"119",11.8,1.28441161254791,1783.76447909822
"120",11.9,1.24943659367718,1768.44535870397
"121",12,1.21725920013992,1753.42259993007
"122",12.1,1.18767605612593,1738.69087566962
"123",12.2,1.16050362874423,1724.24492079337
"124",12.3,1.13557617743778,1710.07953526107
"125",12.4,1.11274394285564,1696.18958670027
"126",12.5,1.09187154518623,1682.57001251982
"127",12.6,1.07283656599748,1669.2158216164
"128",12.7,1.05552829109425,1656.12209572542
"129",12.8,1.03984659487736,1643.28399046067
"130",12.9,1.0257009492456,1630.6967360819
"131",13,1.01300954228365,1618.35563802446
"132",13.1,1.00169849387696,1606.25607722087
"133",13.2,0.991701157034107,1594.39351024076
