"","Times","P","I"
"1",0,80,200
"2",0.1,88.0091397289688,202.075200151877
"3",0.2,96.7150782933331,204.384904285355
"4",0.3,106.153484794284,206.952899442957
"5",0.4,116.355281870638,209.804941053983
"6",0.5,127.344937792163,212.968988133206
"7",0.6,139.137915945722,216.475244574025
"8",0.7,151.738014448867,220.356103237906
"9",0.8,165.133976683525,224.646119562584
"10",0.9,179.295888581422,229.381873156297
"11",1,194.170957831782,234.601713124971
"12",1.1,209.67898965144,240.345357278325
"13",1.2,225.707974171841,246.653326665014
"14",1.3,242.109341270264,253.566139386037
"15",1.4,258.693746373798,261.123233000006
"16",1.5,275.22763352374,269.361561690895
"17",1.6,291.431147379274,278.313809237642
"18",1.7,306.978094062416,288.006178082657
"19",1.8,321.498743605153,298.45572375048
"20",1.9,334.586330298337,309.66723672205
"21",2,345.808055253817,321.62972258583
"22",2.1,354.721219004771,334.312598172591
"23",2.2,360.895092414142,347.661808614568
"24",2.3,363.937564138975,361.59623022766
"25",2.4,363.525827834633,376.004778607939
"26",2.5,359.438862681129,390.744819506441
"27",2.6,351.588190272099,405.642522156394
"28",2.7,340.042510530573,420.495809709742
"29",2.8,325.04147639507,435.080378544813
"30",2.9,306.994027128435,449.158951034711
"31",3,286.459129467964,462.493336951498
"32",3.1,264.108655436779,474.858383345966
"33",3.2,240.676330269553,486.056193000983
"34",3.3,216.899439128524,495.928756876015
"35",3.4,193.462238845352,504.367109355688
"36",3.5,170.949474705375,511.315723819387
"37",3.6,149.81610048653,516.771691404704
"38",3.7,130.375478757557,520.779216874761
"39",3.8,112.804517404479,523.420719237743
"40",3.9,97.1613800338497,524.80620845675
"41",4,83.4102653190136,525.062549466675
"42",4.1,71.4481008327457,524.323854736737
"43",4.2,61.1293130741104,522.723735893491
"44",4.3,52.2864437901921,520.389661006516
"45",4.4,44.745800239279,517.439305379365
"46",4.5,38.338318777821,513.978575713396
"47",4.6,32.9063671492103,510.1009104459
"48",4.7,28.3074073109279,505.887470050555
"49",4.8,24.4154148654563,501.407889635268
"50",4.9,21.1208139720492,496.721341006278
"51",5,18.3295139588377,491.877723849922
"52",5.1,15.9614692329747,486.918866670117
"53",5.2,13.9490469838467,481.879664947286
"54",5.3,12.2353824244344,476.789117508614
"55",5.4,10.7728262864737,471.671244644328
"56",5.5,9.52153837751523,466.545885740046
"57",5.6,8.44824823142082,461.429382512705
"58",5.7,7.5251839674839,456.335158258129
"59",5.8,6.72915925852663,451.274205285212
"60",5.9,6.04080326635843,446.255492856534
"61",6,5.44391513431964,441.286307328406
"62",6.1,4.92492629751293,436.372535042182
"63",6.2,4.47245402557377,431.518897396882
"64",6.3,4.07693163432556,426.729145828468
"65",6.4,3.73030267806658,422.006223594367
"66",6.5,3.42576826678363,417.352400057377
"67",6.6,3.15757784205227,412.769382451622
"68",6.7,2.92085683744932,408.258408492282
"69",6.8,2.71146369761127,403.820323721846
"70",6.9,2.52587167609403,399.455645898681
"71",7,2.36107059641223,395.164618889199
"72",7.1,2.21448537897528,390.947257705044
"73",7.2,2.08390827196987,386.80338624369
"74",7.3,1.96744235572469,382.73266900071
"75",7.4,1.86345438266886,378.734637739024
"76",7.5,1.77053532325255,374.808713973342
"77",7.6,1.68746730105644,370.954227952462
"78",7.7,1.61319582533822,367.170434716412
"79",7.8,1.54680642701632,363.456527702224
"80",7.9,1.48750496188917,359.811650291402
"81",8,1.43460097392551,356.234905626297
"82",8.1,1.38749361767963,352.725364967315
"83",8.2,1.34565972549861,349.282074818023
"84",8.3,1.30864367643983,345.904063007813
"85",8.4,1.27604878227554,342.590343891034
"86",8.5,1.24752995408167,339.33992279593
"87",8.6,1.22278745256653,336.151799835585
"88",8.7,1.20156155804057,333.024973175423
