"","Times","P","I"
"1",0,80,200
"2",0.1,82.1646218660915,199.347218838376
"3",0.2,84.4776327283988,198.845496222506
"4",0.3,86.9353618305593,198.499573508212
"5",0.4,89.5327806738167,198.314151290423
"6",0.5,92.263479174567,198.29355580178
"7",0.6,95.1193446478164,198.441936034806
"8",0.7,98.090167488509,198.763142030789
"9",0.8,101.163575011289,199.260673347268
"10",0.9,104.324757030835,199.937594096094
"11",1,107.556220115347,200.796423387166
"12",1.1,110.837615946413,201.83901892419
"13",1.2,114.145581378711,203.066423710324
"14",1.3,117.453670004265,204.478712466909
"15",1.4,120.732349705613,206.07481351612
"16",1.5,123.949088975089,207.852308481384
"17",1.6,127.068565894152,209.807222247399
"18",1.7,130.053006830608,211.933803383236
"19",1.8,132.862683762263,214.224300990912
"20",1.9,135.456559160293,216.668748268936
"21",2,137.793096358549,219.254761240819
"22",2.1,139.831229801911,221.967366436239
"23",2.2,141.531476123008,224.788871460113
"24",2.3,142.857155284857,227.698794935305
"25",2.4,143.775679105005,230.673872466198
"26",2.5,144.259853671365,233.688153919686
"27",2.6,144.289118662759,236.713205693823
"28",2.7,143.85065550029,239.718431816211
"29",2.8,142.94027856098,242.671516381592
"30",2.9,141.56303395044,245.538985061142
"31",3,139.733450371963,248.286874054265
"32",3.1,137.475363151945,250.881495781756
"33",3.2,134.82135250331,253.290253344393
"34",3.3,131.81177319062,255.482481598651
"35",3.4,128.49342524747,257.430268189126
"36",3.5,124.917948682934,259.109209489508
"37",3.6,121.140047951672,260.49905580334
"38",3.7,117.215658115216,261.58421044171
"39",3.8,113.200160008804,262.354056920361
"40",3.9,109.146766588546,262.803100089352
"41",4,105.105148440255,262.930914794807
"42",4.1,101.120364693498,262.741919475499
"43",4.2,97.2321251087754,262.244998554321
"44",4.3,93.4743744205327,261.453005881358
"45",4.4,89.8752033632053,260.382176060131
"46",4.5,86.4569907967393,259.051500676176
"47",4.6,83.2367582508422,257.482088770463
"48",4.7,80.2266775302877,255.696544030449
"49",4.8,77.4346711576481,253.718385261513
"50",4.9,74.8650518761253,251.571528635333
"51",5,72.5191654128786,249.279840277211
"52",5.1,70.396007790874,246.866764145299
"53",5.2,68.4927910069741,244.355023688638
"54",5.3,66.8054489133212,241.7663970562
"55",5.4,65.3290751903281,239.121556473994
"56",5.5,64.0582930541842,236.43996409845
"57",5.6,62.9875610714168,233.739815872165
"58",5.7,62.1114143337578,231.038028985599
"59",5.8,61.4246575039659,228.350257252271
"60",5.9,60.9225100185991,225.690932958328
"61",6,60.6007101440834,223.073328385208
"62",6.1,60.4555853325725,220.509630579705
"63",6.2,60.4840951084708,218.011024458017
"64",6.3,60.6838501218779,215.587781346002
"65",6.4,61.0531112164339,213.249349838426
"66",6.5,61.590771316748,211.00444672761
"67",6.6,62.2963221063261,208.861146221516
"68",6.7,63.1698066974105,206.826966121853
"69",6.8,64.2117588323928,204.908949942978
"70",6.9,65.4231285551248,203.113744196695
"71",7,66.8051937384889,201.447670210738
"72",7.1,68.3594564527611,199.91678998603
"73",7.2,70.0875232324915,198.526965745607
"74",7.3,71.9909666687611,197.283912382614
"75",7.4,74.0711672002246,196.19324248655
"76",7.5,76.3291332039151,195.260503332716
"77",7.6,78.765297901344,194.491205191833
"78",7.7,81.3792893373384,193.890839211965
"79",7.8,84.1696761195763,193.464885117192
"80",7.9,87.1336859657922,193.218806617006
"81",8,90.266897684289,193.158032857941
"82",8.1,93.5629089631213,193.287924410724
"83",8.2,97.0129837866975,193.613721853358
"84",8.3,100.60568504355,194.140474602813
"85",8.4,104.326500212744,194.872947775063
"86",8.5,108.157472818719,195.815505103819
"87",8.6,112.076852948433,196.97196446336
"88",8.7,116.058786607046,198.34542471868
"89",8.8,120.073066577193,199.938062232863
"90",8.9,124.084971246705,201.750895846326
"91",9,128.055221601969,203.783520577558
"92",9.1,131.940089077387,206.033811787697
"93",9.2,135.691687965487,208.49760361473
"94",9.3,139.258484854839,211.168348103645
"95",9.4,142.586053323391,214.036764647406
"96",9.5,145.618088615218,217.090492728611
"97",9.6,148.297715332116,220.313766141196
"98",9.7,150.569036580295,223.687130194161
"99",9.8,152.378921731264,227.187225652512
"100",9.9,153.678976094657,230.786670017977
"101",10,154.427604554976,234.454064619266
"102",10.1,154.592056747647,238.154157582027
"103",10.2,154.150325352068,241.848187644163
"104",10.3,153.092751610622,245.494427020271
"105",10.4,151.423191659896,249.048929800177
"106",10.5,149.159612211607,252.466477658056
"107",10.6,146.334016600069,255.701696837065
"108",10.7,142.99165107865,258.71030178776
"109",10.8,139.189502539642,261.450403469301
"110",10.9,134.994166568697,263.883805581047
"111",11,130.479216347628,265.977212520016
"112",11.1,125.722295228862,267.703259027537
"113",11.2,120.802098858188,269.041300641212
"114",11.3,115.795501020172,269.977908640144
"115",11.4,110.77501573261,270.507045775282
"116",11.5,105.806737238718,270.629924191645
"117",11.6,100.948849095616,270.354572942973
"118",11.7,96.2507301340187,269.69516379832
"119",11.8,91.7526280718044,268.671158281623
"120",11.9,87.4858273780245,267.306344913586
"121",12,83.4732102388233,265.6278340271
"122",12.1,79.730098077185,263.665069765
"123",12.2,76.265263767671,261.448907059247
"124",12.3,73.082017566382,259.010787751926
"125",12.4,70.1792885612767,256.382036481215
"126",12.5,67.5526442801041,253.593284927717
"127",12.6,65.1952110407743,250.674023321119
"128",12.7,63.0984748301139,247.652271039083
"129",12.8,61.2529560661317,244.554353586077
"130",12.9,59.6487613992988,241.404770866034
"131",13,58.2760220897349,238.226140989457
"132",13.1,57.1252320615569,235.039204397797
