"","Times","P","I"
"1",0,80,200
"2",0.1,82.1003932916807,200.733866006878
"3",0.2,84.2147023031121,201.589147679703
"4",0.3,86.3295120295418,202.565373759913
"5",0.4,88.4305054395486,203.661442760261
"6",0.5,90.5020784402275,204.875574408861
"7",0.6,92.5274138260513,206.205164519988
"8",0.7,94.4887144722321,207.646748218016
"9",0.8,96.367367627037,209.195915457047
"10",0.9,98.1441469045056,210.847215606776
"11",1,99.7994839960776,212.594088828757
"12",1.1,101.313816281563,214.428796747287
"13",1.2,102.667940624203,216.34237974183
"14",1.3,103.843414644674,218.324628233038
"15",1.4,104.822998100218,220.364075563565
"16",1.5,105.591101912408,222.448021415445
"17",1.6,106.13423679015,224.562587395217
"18",1.7,106.441443214872,226.692808430507
"19",1.8,106.504682858443,228.82276208518
"20",1.9,106.31917102059,230.935736758411
"21",2,105.883630663721,233.014437826215
"22",2.1,105.200450902934,235.041228831962
"23",2.2,104.275734298417,236.998405015749
"24",2.3,103.119234104532,238.868485098725
"25",2.4,101.744163260159,240.634512761821
"26",2.5,100.16689708405,242.280376871819
"27",2.6,98.4065681328925,243.791112269825
"28",2.7,96.4845931694432,245.153174190245
"29",2.8,94.4240804376108,246.354713271725
"30",2.9,92.2492696790705,247.38576580497
"31",3,89.9849455516961,248.238410478102
"32",3.1,87.6558494870771,248.906881403491
"33",3.2,85.2861463816183,249.387614259799
"34",3.3,82.8989540895181,249.679235801992
"35",3.4,80.5159500973367,249.782499293126
"36",3.5,78.1570643328963,249.700171555893
"37",3.6,75.8402615543831,249.4368789377
"38",3.7,73.5814110469858,248.998921085565
"39",3.8,71.3942370782851,248.394061933667
"40",3.9,69.2903391161123,247.63130742538
"41",4,67.2792755166954,246.720677965881
"42",4.1,65.3686884942613,245.672985198126
"43",4.2,63.5644636689167,244.499618095243
"44",4.3,61.8709126953018,243.212343627432
"45",4.4,60.2909672621615,241.823126093701
"46",4.5,58.8263746729932,240.343967547053
"47",4.6,57.4778887679032,238.786770239536
"48",4.7,56.2454511506958,237.163221321183
"49",4.8,55.1283584142285,235.484698474321
"50",4.9,54.1254133678922,233.762196486968
"51",5,53.2350590361704,232.006272149212
"52",5.1,52.4554952234283,230.22700550403
"53",5.2,51.784778341404,228.433975421139
"54",5.3,51.2209039752956,226.636248524312
"55",5.4,50.7618756653649,224.842377442337
"56",5.5,50.4057598410282,223.060407919355
"57",5.6,50.1507281308815,221.297893081951
"58",5.7,49.9950886858351,219.561913050366
"59",5.8,49.9373079636557,217.859098411564
"60",5.9,49.9760238820767,216.195656587813
"61",6,50.110051330704,214.577400067678
"62",6.1,50.3383808570498,213.009775659841
"63",6.2,50.6601711793329,211.497894056316
"64",6.3,51.0747360244313,210.046559113234
"65",6.4,51.5815256519429,208.660296351304
"66",6.5,52.1801032982949,207.343380257789
"67",6.6,52.8701166592746,206.09986002599
"68",6.7,53.6512644171936,204.933583439185
"69",6.8,54.5232579500726,203.848218637975
"70",6.9,55.4857778068306,202.847273455198
"71",7,56.5384250371432,201.934112115021
"72",7.1,57.6806672603785,201.111969066748
"73",7.2,58.9117787884492,200.383959674404
"74",7.3,60.2307762183137,199.753087607274
"75",7.4,61.6363497056196,199.222248118877
"76",7.5,63.126785493379,198.794228216888
"77",7.6,64.699885991122,198.471701898139
"78",7.7,66.3528878063875,198.257221314221
"79",7.8,68.0823664490922,198.153201853808
"80",7.9,69.8841505270924,198.161902852394
"81",8,71.7532317970123,198.285402825859
"82",8.1,73.6836723974448,198.525568109746
"83",8.2,75.6685181173151,198.884015404829
"84",8.3,77.6997175113128,199.362067389016
"85",8.4,79.7680509390282,199.960702460555
"86",8.5,81.8630756527941,200.680498413342
"87",8.6,83.9730834871362,201.521567116075
"88",8.7,86.0850849579723,202.483484674371
"89",8.8,88.1848205497253,203.565215837045
"90",8.9,90.2568047479917,204.765033679827
"91",9,92.2844079047612,206.080435976997
"92",9.1,94.249980535275,207.508060015261
"93",9.2,96.1350238220295,209.043598067134
"94",9.3,97.9204089159638,210.681716236838
"95",9.4,99.5866459990912,212.415979894506
"96",9.5,101.114202001088,214.238789391572
"97",9.6,102.48386337256,216.141330163142
"98",9.7,103.677137482893,218.113541624376
"99",9.8,104.676669808511,220.144109056893
"100",9.9,105.466727133352,222.220482844854
"101",10,106.033621183517,224.328932849454
"102",10.1,106.366132471053,226.454634610797
"103",10.2,106.455916271899,228.581793934142
"104",10.3,106.297839937104,230.693810670945
"105",10.4,105.890244606953,232.773480241929
"106",10.5,105.235113754819,234.803230599927
"107",10.6,104.338134758959,236.765389624933
"108",10.7,103.208644425003,238.6424761677
"109",10.8,101.85945581584,240.417505884182
"110",10.9,100.306570383286,242.074301478836
"111",11,98.5687879590269,243.597796207889
"112",11.1,96.6672234384297,244.974317871837
"113",11.2,94.6247664623619,246.191842959463
"114",11.3,92.4655007858201,247.240210728527
"115",11.4,90.2141104194027,248.111288507801
"116",11.5,87.8953009754954,248.799082543561
"117",11.6,85.5332622064803,249.299791463009
"118",11.7,83.1511906054167,249.611802410295
"119",11.8,80.7708886917497,249.735632729591
"120",11.9,78.412448353384,249.673822564808
"121",12,76.0940240075346,249.430785564545
"122",12.1,73.8316926481193,249.012626552327
"123",12.2,71.6393957972856,248.426935340441
"124",12.3,69.5289530432394,247.682566210782
"125",12.4,67.5101359191637,246.789411819128
"126",12.5,65.5907893780825,245.758179478294
"127",12.6,63.7769882426876,244.600176458517
"128",12.7,62.073216620858,243.327109588171
"129",12.8,60.4825596647331,241.950902987827
