"","Time","P","I"
"1",0,1,1
"2",1.01323662496229,2,1
"3",3.65674980131955,3,1
"4",5.90027833204409,5,1
"5",7.27230421389657,8,1
"6",9.9719043192575,12,1
"7",10.993805572161,14,1
"8",12.3127405579227,20,1
"9",13.579993902545,25,1
"10",14.8030796797234,32,1
"11",15.8315756101356,39,1
"12",16.9210231769778,45,1
"13",17.9827462579418,56,1
"14",19.0524724554101,72,1
"15",20.1267921067276,83,1
"16",21.154671373764,104,1
"17",22.1968529019538,136,1
"18",23.2038872161645,161,1
"19",24.2206540761961,194,2
"20",25.2732792781745,233,4
"21",26.2787094567352,278,5
"22",27.2974274990713,319,10
"23",28.3099914973,349,16
"24",29.3179270777978,378,18
"25",30.3771722538417,368,26
"26",31.3871215477786,336,34
"27",32.4345943011881,261,42
"28",33.4425149549585,207,48
"29",34.4876238594432,162,54
"30",35.4907785140621,113,62
"31",36.4953148213745,63,67
"32",37.5257518845297,42,74
"33",38.5747750389075,31,78
"34",39.6371203073198,15,78
"35",40.6491390583416,8,78
"36",41.8280817646243,2,78
"37",43.0752512699909,1,78
"38",44.2620492547995,1,78
