"","Time","P","I"
"1",0,80,200
"2",1.00075384809552,173,237
"3",2.00122183192778,217,296
"4",3.01224091886696,167,361
"5",4.02209490758756,90,382
"6",5.07934430437328,29,392
"7",6.09524793548419,7,360
"8",7.10054986484878,10,326
"9",8.17998775711756,7,295
"10",9.31531793294857,16,275
"11",10.3716428368682,16,273
"12",11.4165950280057,21,256
"13",12.4247941306318,45,240
"14",13.4414415832016,82,243
"15",14.4440199857822,140,262
"16",15.4535590760628,169,323
"17",16.4707670312424,99,398
"18",17.4916053751262,42,405
"19",18.4956407762199,12,383
"20",19.4977768738604,8,361
"21",20.5571092378723,16,329
"22",21.592778593292,18,300
"23",22.6999597115525,29,286
"24",23.7258922993168,36,289
"25",24.7814009360997,54,290
"26",25.7967412107631,65,290
"27",26.8013825606907,93,296
"28",27.8055678296333,102,314
"29",28.8176678766657,100,332
"30",29.8606158949801,56,364
"31",30.8900034522728,22,352
"32",31.9382138850864,28,340
"33",33.0510881951885,18,304
"34",34.1618484996292,10,278
"35",35.2640544326198,17,266
"36",36.3272264699317,31,280
"37",37.3474502231104,33,255
"38",38.3788811680065,43,260
"39",39.3976037539188,50,278
"40",40.4049108872799,55,276
"41",41.4483185708886,64,277
"42",42.4486431012338,43,294
"43",43.457206153918,51,282
"44",44.4833190790959,82,275
"45",45.5013383192413,102,297
"46",46.5254376049865,64,318
"47",47.5499172217867,44,317
"48",48.5870979965533,32,316
"49",49.6058310941051,70,312
"50",50.6375038936146,61,307
"51",51.6598853064652,53,308
"52",52.669849676777,50,315
"53",53.7043386987628,40,304
"54",54.7535669807289,55,310
"55",55.7967165626323,62,314
"56",56.8073393654428,42,351
"57",57.9645242870064,25,333
"58",59.1822143317021,10,334
"59",60.2912946409935,12,318
"60",61.3752492206637,19,294
"61",62.4534445491938,18,277
"62",63.4682185818285,36,265
"63",64.5544125278185,33,257
"64",65.5594085724699,91,270
"65",66.5705131081324,119,290
"66",67.5851531167098,102,319
"67",68.5942861259359,68,351
"68",69.7375481069212,20,340
"69",70.741468881293,10,328
"70",71.7657355879559,11,323
"71",72.7797485921991,12,304
"72",73.8211776105683,17,282
"73",74.8686455916498,24,257
"74",75.9187420700179,42,262
"75",76.9217508692974,80,269
"76",77.9290709492643,114,286
"77",78.9359690854267,104,323
"78",79.9706834899778,72,331
"79",81.0006894494079,41,338
"80",82.0251551023332,24,318
"81",83.1514100750092,12,281
"82",84.2863688565711,29,260
"83",85.3502741354396,37,267
"84",86.355279992572,72,261
"85",87.3739698255541,95,295
"86",88.389844278339,87,327
"87",89.4197462039048,69,342
"88",90.4787287748917,51,318
"89",91.5191565741492,47,311
"90",92.6506473964077,21,292
"91",93.7799407018074,15,285
"92",94.930667016117,21,266
"93",95.9795369682375,24,252
"94",96.9948710931059,97,255
"95",98.014080765868,102,297
"96",99.0297759638321,108,305
"97",100.015268549323,81,312
