"","Time","P","I"
"1",0,80,200
"2",1.0287719383029,77,190
"3",2.04103152207524,49,181
"4",3.07507776919655,32,153
"5",4.07657679480725,53,149
"6",5.07658298118881,154,172
"7",6.08519164455207,146,216
"8",7.10233943486196,76,262
"9",8.1425730382392,35,218
"10",9.16545433944384,43,198
"11",10.1852485163819,78,183
"12",11.200664407745,81,170
"13",12.206263678642,113,191
"14",13.2162740008689,103,190
"15",14.2198710838382,133,199
"16",15.2236810102071,106,207
"17",16.2385229548138,87,221
"18",17.2826291670708,40,211
"19",18.2846927195153,31,179
"20",19.2851022901187,66,153
"21",20.285914964967,137,177
"22",21.2873372865535,163,205
"23",22.2888500975646,119,268
"24",23.3164733080996,39,254
"25",24.3253706349902,2,205
"26",25.0034312199501,6,157
