"","Time","P","I"
"1",0,1,1
"2",1.00423379317621,27,36
"3",2.00442303130863,31,63
"4",3.00863334776219,19,78
"5",4.0152828024772,18,79
"6",5.01543133367749,21,91
"7",6.03975821684565,14,87
"8",7.05011327654665,15,89
"9",8.05431039544671,16,91
"10",9.06360673213149,17,96
"11",10.0817347497271,13,107
"12",11.082231379959,13,89
"13",12.0870195223417,20,81
"14",13.0960135266647,20,69
"15",14.1118196849985,14,68
"16",15.1205962551472,15,68
"17",16.1464893179306,14,70
"18",17.1467664328837,13,78
"19",18.1482052529746,19,73
"20",19.1489191408253,14,86
"21",20.1501441508507,21,84
"22",21.1667543120373,14,82
"23",22.1693276651146,18,80
"24",23.1752677762374,19,93
"25",24.176399025253,17,106
"26",25.1772529827414,13,107
"27",26.1780225940182,17,85
"28",27.1831115452534,16,76
"29",28.1858179626492,18,84
"30",29.1885257288947,16,85
"31",30.1964328812092,9,85
"32",31.1974227497173,18,85
"33",32.2010325634593,17,76
"34",33.2127967494271,22,77
"35",34.2184365823621,20,79
"36",35.2207710406897,24,96
"37",36.2209988396901,15,97
"38",37.2249895576969,16,97
"39",38.2305015366327,16,97
"40",39.2345546937587,12,100
"41",40.2363111449975,21,89
"42",41.239322478221,17,83
"43",42.2445512576043,20,95
"44",43.2477824608541,17,91
"45",44.249216983511,23,88
"46",45.250562962441,24,102
"47",46.2516055519365,13,97
"48",47.2532746854258,20,90
"49",48.2577627059142,13,96
"50",49.2604119870302,15,97
"51",50.0046271649328,14,89
