"","Time","P","I"
"1",0,80,200
"2",1.00928853435758,173,262
"3",2.01924024281532,196,341
"4",3.02996400054971,124,429
"5",4.05955482719874,70,419
"6",5.0611682497108,27,392
"7",6.16929200432943,12,346
"8",7.18958584248133,4,337
"9",8.19583076387438,6,326
"10",9.24750830174281,7,295
"11",10.39069985954,18,266
"12",11.4982473678883,24,257
"13",12.6466569552632,25,265
"14",13.652066271322,49,277
"15",14.7036868058072,53,284
"16",15.7423221954889,52,302
"17",16.8266497123812,35,306
"18",17.8621349137285,46,307
"19",18.8852937042422,16,309
"20",19.9930581955269,28,292
"21",21.1350504536197,10,277
"22",22.1470863173994,7,258
"23",23.151394989458,11,249
"24",24.2615131895306,27,236
"25",25.2943164716618,58,237
"26",26.3166403789543,81,253
"27",27.3218458575719,142,264
"28",28.331983986228,137,315
"29",29.3367792288721,90,345
"30",30.3482584949179,95,358
"31",31.4089906667805,49,383
"32",32.4141819557075,2,373
