Time,Parasites,ImmuneCells
0,80,200
1.0345576447845222,62,206
2.0841127111344333,41,213
3.1031183879078212,35,198
4.147650585004037,34,187
5.148645406135383,46,193
6.15898960822687,77,185
7.163565231038878,98,199
8.175163222743802,82,224
9.190325243031097,76,230
10.221412881842504,55,225
11.227634666531008,58,205
12.243438167548325,65,183
13.244141786904873,82,199
14.25680408261605,52,222
15.275828389140528,51,209
16.29814500678121,40,200
17.33544687643571,36,205
18.37433989414336,37,181
19.388564622514874,31,177
20.388737798683444,63,151
21.40605796477385,81,183
22.41691703849019,90,197
23.426746048489427,90,219
24.445594423852672,50,218
25.452172077110276,27,187
26.460076417074756,51,177
27.479365752964995,67,177
28.50549439915206,63,186
29.53350925532317,50,168
30.55940776665003,67,181
31.571314043487988,91,195
32.57892840453031,68,221
33.6041287774016,58,227
34.62470155794126,59,234
35.65788934814052,29,232
36.67551507770523,34,218
37.71041987269792,25,184
38.72929185643235,63,167
39.729542704721716,77,174
40.01907809593997,90,176
