Time,Parasites,ImmuneCells
0,80,200
1.0049057777232937,146,240
2.005535288374695,188,300
3.0214550137857352,111,363
4.106125230052077,29,341
5.194648374712988,19,337
6.321556415483868,17,321
7.333762996826453,9,290
8.338092969075731,10,274
9.357481513304856,15,273
10.361927563284215,33,261
11.373372888157533,56,275
12.399022236675966,39,284
13.459829912502306,42,277
14.490004688937162,39,291
15.514023702701717,46,296
16.590442636333727,39,287
17.665309849159975,43,286
18.69468050349945,52,275
19.73714447899365,44,283
20.842924846137976,37,276
21.906265197717435,46,268
22.96704564741132,46,273
23.97751752477997,80,297
25.006882441504324,53,332
26.125193427612086,22,326
27.147016603113148,13,314
28.15820201708495,26,288
29.25814804109066,38,271
30.31088521806411,44,276
31.38025374938716,50,279
32.392576399932075,74,291
33.41312152919868,89,303
34.48757523572451,42,325
35.567803856601564,28,318
36.588328660147326,14,301
37.59740045615999,35,271
38.74527825195553,29,284
39.81550588217545,25,283
40.917632888571084,20,272
41.91865317185498,10,274
43.07147819159263,8,235
44.081489881208036,28,221
45.10699998453377,33,222
46.141249113889735,59,247
47.146939344500765,70,261
48.17815307031893,79,266
49.19049643723058,96,272
50.2092192629619,110,319
51.23080406248873,73,333
52.31008729939021,42,331
53.465658104206724,25,328
54.50709450781067,19,304
55.6009422163316,13,284
56.733876328197965,14,274
57.75617926289373,23,260
58.80714381083648,48,263
59.83831259491092,67,282
60.84839715790508,42,295
62.00685411281843,11,298
63.051409261308876,21,261
64.05189630097946,37,259
65.05431204567019,41,272
66.11560908536887,46,272
67.15103768944931,63,281
68.15506316772495,92,299
69.18464224415088,78,323
70.21105192297658,52,321
71.28777667666253,42,316
72.3120206943755,30,309
73.40231883368689,5,298
74.45785223828942,2,285
