"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"theta[1]",2.85867725664332,0.51893734295621,0.734281401068328,2.06385580429535,2.12435778052935,2.94729719388968,3.58236300573266,3.61226946148615,2.00214353053528,29.5014829789011,3.57239418714816,0,3.57239418714816,3.57239418714816,3.57239418714816,3.57239418714816,3.57239418714816,3.61226946148615,0,3.61226946148615,3.61226946148615,3.61226946148615,3.61226946148615,3.61226946148615,2.12515280824675,0.0375487265695573,2.05173652277059,2.10034691863712,2.12427591703225,2.14906413809278,2.20262573255083,2.12489256969222,0.0377095735619045,2.05056581429581,2.10031839387398,2.12446055177109,2.14946632156854,2.20136864957695
"theta[2]",18.5977916997825,11.6211443683587,16.4447429452113,0.145074174223165,3.27546393926961,17.8655617339892,34.9670235513319,36.4435406801318,2.00242558501798,27.5906913255585,0.145074174223165,0,0.145074174223165,0.145074174223165,0.145074174223165,0.145074174223165,0.145074174223165,4.31892719428509,0,4.31892719428509,4.31892719428509,4.31892719428509,4.31892719428509,4.31892719428509,34.9531948134424,0.89178555873301,33.1970133495447,34.3428082056999,34.9576004754847,35.5444212119656,36.6802407683773,34.9739706171791,0.910449079878583,33.1615160998237,34.3664319768861,34.9786270353631,35.5980131703525,36.7418611473869
"z_init[1]",26.7382711447857,16.3108584721266,23.4575217942411,1.74555068801162,4.86858230366853,15.8772887992534,49.3033424775386,61.4204161709452,2.06828612343589,5.19577204095834,5.90959284222084,0,5.90959284222084,5.90959284222084,5.90959284222084,5.90959284222084,5.90959284222084,1.74555068801162,0,1.74555068801162,1.74555068801162,1.74555068801162,1.74555068801162,1.74555068801162,49.7482414744121,6.74968800003497,37.5018942314347,45.0603832785738,49.4207399090681,54.009527853041,63.8724885065876,49.5496995744983,6.86493646046258,37.2812133410976,44.8170873613056,49.2154343036836,53.8684111383965,64.1233863573824
"z_init[2]",111.356520156583,76.3253224076026,108.059655854164,0.198451995658062,5.11026715644722,95.9945872167307,219.265078484425,232.473242953957,2.00442525094635,20.2959292349499,6.74753887671027,0,6.74753887671027,6.74753887671027,6.74753887671027,6.74753887671027,6.74753887671027,0.198451995658062,0,0.198451995658062,0.198451995658062,0.198451995658062,0.198451995658062,0.198451995658062,219.29819882993,8.01574342399723,203.35462091142,213.904797100183,219.366907579636,224.625409733543,234.996386407429,219.181890924035,8.07950228231966,203.268267680159,213.909818353874,219.193922525562,224.542974998646,235.083406067854
"sigma[1]",0.704662595506889,0.338538483478325,0.479651243001845,0.215087725107076,0.273975052501645,0.699052123910745,0.974061662109716,1.44071706363673,2.00740526895602,15.5716102036011,1.44071706363673,0,1.44071706363673,1.44071706363673,1.44071706363673,1.44071706363673,1.44071706363673,0.81850986160071,0,0.81850986160071,0.81850986160071,0.81850986160071,0.81850986160071,0.81850986160071,0.279457435438026,0.0458635905125304,0.206604463513876,0.246395602928764,0.274113909586832,0.305914441482438,0.38440603299079,0.279966021352086,0.0472358905657398,0.20663642824005,0.246453865180833,0.273900865283239,0.30622309138112,0.388841011307517
"sigma[2]",0.444207862376517,0.312092911967101,0.44151214695111,0.0783597250840294,0.100943862294464,0.298203083959312,0.587294884238523,1.1813455268634,2.00132445457084,37.9268859413739,0.389278003363564,0,0.389278003363564,0.389278003363564,0.389278003363564,0.389278003363564,0.389278003363564,1.1813455268634,0,1.1813455268634,1.1813455268634,1.1813455268634,1.1813455268634,1.1813455268634,0.102994096520355,0.0175362925522752,0.0751685212061886,0.090714572163656,0.100703466405342,0.112938567218129,0.143474113485264,0.103213822758749,0.017662271491371,0.074966736585298,0.0905723552424698,0.101204660753585,0.11336564717324,0.144409346875954
"z[1,1]",83.3647549938847,46.9087678921086,66.3917142205812,30.329610927773,36.5901039285642,61.7931398622867,96.5130197200307,196.727225465995,2.00317878727,23.9031859407484,196.727225465995,0,196.727225465995,196.727225465995,196.727225465995,196.727225465995,196.727225465995,63.1082844713758,0,63.1082844713758,63.1082844713758,63.1082844713758,63.1082844713758,63.1082844713758,36.8686019982184,4.18353062922489,29.4263908140635,33.9718276292838,36.6082045625568,39.5177620085601,45.8112091805905,36.754908039949,4.21370309573243,29.0223495320624,33.8347845094234,36.5688792661938,39.4308091526389,45.5862758831755
"z[1,2]",101.873520957699,68.7598166877299,97.3632591288526,3.8392000063133,5.08084686648748,85.9085543754002,198.986780098033,212.05759540078,2.0050295869224,19.0276836673565,5.49472915321221,0,5.49472915321221,5.49472915321221,5.49472915321221,5.49472915321221,5.49472915321221,3.8392000063133,0,3.8392000063133,3.8392000063133,3.8392000063133,3.8392000063133,3.8392000063133,199.160904486271,7.68853131951639,184.299544885752,193.935288774271,199.158444065995,204.28055079991,214.251191042347,198.999250184998,7.77981597067392,184.046994371005,193.753736935446,198.834064406503,204.0000062952,214.628099737472
"z[2,1]",2234.35661201635,1912.38863084324,2704.59428404595,29.1576483925689,33.9769084374397,1132.05970565816,3322.47894767617,6658.82338627987,2.00010108483994,1274.44716369132,6658.82338627987,0,6658.82338627987,6658.82338627987,6658.82338627987,6658.82338627987,6658.82338627987,2210.36413480827,0,2210.36413480827,2210.36413480827,2210.36413480827,2210.36413480827,2210.36413480827,34.1499042535533,3.20668993091473,28.3420541119045,31.9306693338743,33.9928398866469,36.1560382694329,40.9579107197431,34.0890227237271,3.21005450542501,28.1080785731606,31.9079969076316,33.9641329243186,36.1461746694174,40.8418952888136
"z[2,2]",100.838341014944,55.7561925292492,78.9574029661158,16.210687512983,25.0852147731919,91.1186519802472,179.339847352127,190.537408283855,2.00539298953866,18.3524773580747,28.0433905265948,0,28.0433905265948,28.0433905265948,28.0433905265948,28.0433905265948,28.0433905265948,16.210687512983,0,16.210687512983,16.210687512983,16.210687512983,16.210687512983,16.210687512983,179.624142525368,6.46658706976214,167.384424440214,175.273632828506,179.484256490908,183.868732576846,192.405711117242,179.47514349483,6.53914651189726,167.172793086378,175.054541811365,179.219029173669,183.711613770236,192.989978457776
