"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"theta[1]",1.9232238927616,0.97801200800049,1.39043170830151,0.178731732981275,0.898862330256496,1.47426908328079,3.46408732438843,4.0583454254303,2.02120773765268,9.54490063503722,1.4742532832195,9.14784499085039e-06,1.47424249164339,1.47424491799621,1.47424713004337,1.47426250271721,1.47426955528133,4.05834330561207,1.83674422650421e-06,4.05833980708137,4.05834178534829,4.05834364823431,4.05834472441948,4.05834652769193,1.93284664192411,0.309611330727357,1.40417032058467,1.71518648472506,1.90546292205455,2.12021164077239,2.62168141500605,0.22745234029072,0.0333955412437342,0.148436690476336,0.208089520313068,0.235334372647435,0.253492846056596,0.269598855459353
"theta[2]",1.12964213393679,0.729357549640655,1.24498952501277,0.0104534807708022,0.314902892807193,0.648016978963814,1.07773489081593,4.73323249102133,2.91373754005178,1.85353028483106,0.648008149798205,4.67125688194672e-06,0.648001751617076,0.64800375027323,0.648006324864176,0.648011830507727,0.648016563507853,1.07773380990111,7.76583340058921e-07,1.0777324312254,1.07773315788409,1.07773391550808,1.07773438324277,1.07773515039206,0.0125485549805826,0.00174150525569467,0.00958200394793099,0.0113234481123702,0.0123833972290046,0.013598673423254,0.0164770603198762,2.78027802106725,1.41169198472297,0.86921424786412,1.63732238355385,2.60002323221472,3.6202589682719,6.08743150887313
"theta[3]",5.02397488719001,3.67233400590025,5.36296310971423,0.177894427944751,2.32996807949393,3.0143070250074,4.70108045221523,17.3367630392348,2.13267791031723,4.0958714500891,2.80781033245739,1.18603542737536e-05,2.80778768827985,2.80780073969003,2.80781405561356,2.8078208562524,2.8078269426834,3.2207902508639,1.97180859008356e-06,3.22078662424441,3.22078871268722,3.22078987564184,3.22079220158089,3.22079332319543,0.288705030333974,0.099286180711288,0.140665581113858,0.217984739074169,0.272840962311855,0.342310758172167,0.522839862987851,13.7785939351048,2.79366164094374,10.4759135520686,11.7610650987659,13.1960155717694,15.0711002169388,20.661276496962
"theta[4]",1.24230104525393,0.892151008180837,1.27682320106243,0.110213546016428,0.468709298599007,0.490349433767596,2.59167455987145,3.42263122426221,2.04825861427915,6.49918013313105,0.468710873694505,1.3901828907405e-06,0.468708559710156,0.468709787274489,0.468710476496772,0.468712413467416,0.468713352964385,3.42262742858596,3.14216900972603e-06,3.42262112609997,3.42262446461211,3.42262825818371,3.42262976238928,3.42263238686613,0.502729614638041,0.17932921117524,0.24029643849225,0.375139708088246,0.47452319198961,0.597779144524789,0.937672508101587,0.575136264097235,0.380086803575544,0.059341609385314,0.239898795519627,0.550214524696038,0.83592534582933,1.43412424077915
"theta[5]",2.18436009992055,1.3894846721151,1.965274729794,0.199033715919549,0.34111270761461,1.88129069338277,3.51628215186469,5.01539587830679,2.00050213483363,68.0627860714174,3.016556493612,1.63464745872444e-05,3.01652520589144,3.01654162259771,3.01656381850658,3.01657073833747,3.01657902723438,5.01539255142155,2.30403524993711e-06,5.01538857239653,5.01539081976426,5.01539228585136,5.01539432917511,5.01539700376145,0.471248043136026,0.0546789781908717,0.381135416139841,0.43257295227847,0.46556778335153,0.502871265202871,0.594069053888996,0.234243311512638,0.0289729033564055,0.192314438890368,0.208512575339798,0.231527907537291,0.2560503372392,0.291707115748439
"z_init[1]",28.2354180891088,19.6676021173384,28.1164319431604,0.151021385436393,1.24368589182113,16.1890227890192,53.9330948178971,70.5118242376155,2.04370207406972,6.73346485737056,1.60791971959208,4.89067534371141e-06,1.60790801905111,1.60791912903778,1.60792132346195,1.60792266271551,1.6079257722705,0.151021723958615,2.16327512668879e-07,0.151021267351032,0.151021602264086,0.151021782827153,0.151021888243657,0.151022056221588,48.9899243692647,4.53280991925917,40.5205236758508,45.9053937190815,48.8619404703856,51.8585624971695,58.3364549263979,62.1928065436199,7.73995199235722,47.6477625563276,57.0123017351596,62.9600066988786,66.3440723630454,79.3574673165774
"z_init[2]",96.8198107760962,68.0875323001762,96.6742890282618,0.346616831761121,0.720794108258994,64.3316169266249,192.753745416366,214.582147699314,2.01598262624272,11.0960025302194,0.845531326452786,7.74919557827888e-06,0.845520091801423,0.845522093707045,0.845529357388154,0.84553887373537,0.845541651404371,0.346617143851336,2.82977173786254e-07,0.346616736769863,0.346616980228027,0.346617081915306,0.346617232780565,0.346617856048399,193.185421383894,6.63705841612528,181.003303974784,188.611094844459,192.894768798214,197.47358821354,206.97578084642,192.901673250187,17.3933190698974,161.677819010635,179.857967707085,192.311499865118,203.402955108038,231.467116649111
"sigma[1]",1.28542174322875,0.916301966191808,1.29651184313194,0.203358696285087,0.344938250835515,0.949818657039454,1.59217615166404,3.48449364546215,2.00205378013476,30.9064814891765,3.48447624637885,1.69410020783186e-05,3.4844397658627,3.48446934503321,3.48447768112703,3.48449039930169,3.48449837960164,0.961421463958645,5.75218601879452e-07,0.961420250440581,0.961421113944831,0.961421424718298,0.961421893455288,0.961422461529637,0.256212393847869,0.0464525943851824,0.185165405807805,0.223369101484095,0.249688465154217,0.282815664580287,0.361910481478115,0.439576868729616,0.0768399653710823,0.332299765791917,0.387659647713911,0.426810109461696,0.474168068199711,0.626939281109769
"sigma[2]",0.406269269238582,0.300346742013763,0.424978094199817,0.0687275675893717,0.117094388016592,0.247810648008183,0.503636725796438,1.13521903302755,2.00210679013614,30.6681421452047,1.1352131071097,5.29780846072466e-06,1.13520350712015,1.13520746713324,1.13521488933139,1.13521649001872,1.1352195606383,0.247811188668415,3.0707483785783e-07,0.247810700698934,0.247810919513883,0.247811189716881,0.247811410022179,0.247811809897113,0.0868802550012844,0.0158285009401927,0.0619600340441559,0.0756768367456413,0.0848971330903413,0.0956631472683384,0.124046394606776,0.155172526174931,0.0250999857525941,0.113854416622371,0.138264414734443,0.154577001503471,0.166789288551644,0.212527315684646
"z[1,1]",27.0573462886132,18.7983150881507,26.872694489807,0.308852126695519,1.83221065963111,15.3935460253715,50.0742824674561,70.0631090773304,2.04354676187301,6.77954430810292,2.3400232911825,1.2838738852642e-05,2.33999776060113,2.34001695914949,2.34002592344018,2.34003242758575,2.34004633603918,0.3088528605043,5.03830286974786e-07,0.308851843124705,0.308852503431386,0.308852869450482,0.308853310965784,0.308853588287682,43.7030190670926,3.86267920300606,36.5694620617591,41.0494243389861,43.6072602391703,46.1757954356565,51.7069636635982,61.8774899356734,7.59162725639779,47.6988794104102,56.8035360361231,62.3554646686977,66.0799281826937,78.5991018962801
