"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"theta[1]",2.42307621188378,0.948919094250581,1.34201213509279,0.790013492433035,1.39958753318322,2.29282511284419,3.32009693852339,4.30862736753231,2.00011291705019,587.753196012748,0.798027254671101,0.00674419127778584,0.788096236634361,0.79310454849808,0.797114550664184,0.801526530017509,0.811910387379045,1.59506342981128,2.75852389844665e-10,1.59506342901526,1.59506342974009,1.59506342990469,1.59506342998547,1.59506343009053,4.30862736753231,0,4.30862736753231,4.30862736753231,4.30862736753231,4.30862736753231,4.30862736753231,2.99058679552042,0,2.99058679552042,2.99058679552042,2.99058679552042,2.99058679552042,2.99058679552042
"theta[2]",0.419520524757033,0.180540349805934,0.255329754308386,0.141182891055037,0.177491818118398,0.416964534750471,0.659742519478093,0.701292309170053,2.00011190794478,741.573512611659,0.142860720626472,0.00120583957441608,0.140713271537847,0.142052116796601,0.142822092329848,0.143639257455324,0.145347728363153,0.701292308900718,1.96577853438466e-10,0.701292308590219,0.701292308731561,0.701292308902403,0.701292309084627,0.701292309215805,0.188036479700635,0,0.188036479700635,0.188036479700635,0.188036479700635,0.188036479700635,0.188036479700635,0.645892589800307,0,0.645892589800307,0.645892589800307,0.645892589800307,0.645892589800307,0.645892589800307
"theta[3]",2.23334392174308,1.22595196556413,1.73478361028868,0.801216237964141,1.18992255117733,1.46933486409115,2.46113165837695,5.32631919178352,2.00236715214925,73.8411609714728,5.19348972024021,0.108711672836916,5.00746375257236,5.11036963305163,5.21149223305482,5.28424700951132,5.36897515811537,1.61917840651959,3.90659651392153e-10,1.6191784059912,1.61917840619529,1.61917840636568,1.61917840694071,1.61917840717619,1.31949132224839,0,1.31949132224839,1.31949132224839,1.31949132224839,1.31949132224839,1.31949132224839,0.801216237964141,0,0.801216237964141,0.801216237964141,0.801216237964141,0.801216237964141,0.801216237964141
"z_init[1]",4.62118553095419,1.92329597234474,2.72049236435417,0.390186897683008,3.16186262645868,5.36613963143204,7.06474552875682,7.15737963799991,2.00079585195895,82.2926256008105,6.85142105388992,0.0964822718945154,6.67767405719006,6.76017891997185,6.87120456635271,6.92364894044932,7.0048125639811,7.15737963619327,1.64483424985619e-09,7.15737963315745,7.15737963508784,7.15737963624126,7.15737963685206,7.15737964042532,0.390186897683008,0,0.390186897683008,0.390186897683008,0.390186897683008,0.390186897683008,0.390186897683008,4.08575453605057,0,4.08575453605057,4.08575453605057,4.08575453605057,4.08575453605057,4.08575453605057
"z_init[2]",1.03237390733009,0.511461986506038,0.723349090278362,0.255223335969994,0.376535728642346,0.930933260580402,1.61490343104896,1.99372148035274,2.0001803529129,201.135793859827,1.46357761981935,0.00874428480853958,1.44779507394439,1.45711601483286,1.46204995910115,1.47007398100165,1.48248121402406,0.416973193178284,1.5179635414238e-10,0.416973192890542,0.416973193058366,0.416973193172117,0.416973193322161,0.416973193414803,1.99372148035274,0,1.99372148035274,1.99372148035274,1.99372148035274,1.99372148035274,1.99372148035274,0.255223335969994,0,0.255223335969994,0.255223335969994,0.255223335969994,0.255223335969994,0.255223335969994
"sigma[1]",3.26576944507639,1.81115580055713,2.56144301480865,0.810218878149305,1.09327484726167,2.50783542172231,4.68764759057477,7.21493630568845,2.00012793104435,637.948020680612,0.832470631720903,0.0181880824040724,0.808481927763706,0.81636479673178,0.82345064267956,0.852270762828834,0.859082097850318,1.17045282402601,4.20708198410751e-10,1.17045282303316,1.17045282371924,1.17045282417237,1.17045282433802,1.17045282447553,3.84521801887021,0,3.84521801887021,3.84521801887021,3.84521801887021,3.84521801887021,3.84521801887021,7.21493630568845,0,7.21493630568845,7.21493630568845,7.21493630568845,7.21493630568845,7.21493630568845
"sigma[2]",2.49970768690005,1.01233733582802,1.43752454592472,0.811831699037935,0.943202590521586,2.73831856956875,3.64760101194867,4.33614672375367,2.01641551116272,13.1334105742779,1.43276655029187,0.249982995719902,1.05964276260969,1.21987593757161,1.39537729198147,1.63446886432535,1.90526512882253,4.33614672189127,1.6294419556993e-09,4.33614671896918,4.33614672085975,4.33614672226425,4.33614672312582,4.33614672454894,0.811831699037935,0,0.811831699037935,0.811831699037935,0.811831699037935,0.811831699037935,0.811831699037935,3.41808577637912,0,3.41808577637912,3.41808577637912,3.41808577637912,3.41808577637912,3.41808577637912
"z[1,1]",12.2657755945827,4.04449878909881,5.72069659021361,3.26368194516653,9.07190511999515,14.3583034049707,17.1200184566571,17.4012174066059,2.00063752207322,115.44560157943,11.3719175527974,0.174123865787361,11.0651948527617,11.201344071179,11.4144808258172,11.5047423608385,11.6438787581585,17.401217403007,3.32761825570582e-09,17.4012173955994,17.4012174011165,17.4012174038671,17.4012174054239,17.4012174079053,3.26368194516653,0,3.26368194516653,3.26368194516653,3.26368194516653,3.26368194516653,3.26368194516653,17.0262854773598,0,17.0262854773598,17.0262854773598,17.0262854773598,17.0262854773598,17.0262854773598
"z[1,2]",31.7155106357791,0.871039001592932,1.23188514210111,30.4084938684456,31.0054963694334,31.3489230124526,32.0652858332495,33.7376625617337,2.00016227400335,351.211013758371,30.42653395506,0.013383085776042,30.4032447501593,30.4159188461043,30.4273859562033,30.4373781833184,30.4489373582221,31.5078269227277,6.92438399837701e-10,31.5078269215529,31.5078269219546,31.5078269230237,31.5078269232939,31.5078269235855,31.1900191035952,0,31.1900191035952,31.1900191035952,31.1900191035952,31.1900191035952,31.1900191035952,33.7376625617337,0,33.7376625617337,33.7376625617337,33.7376625617337,33.7376625617337,33.7376625617337
"z[2,1]",19.2347402917831,6.48285335842983,9.16925808467093,6.6563947449878,12.2706081106902,20.3791677724618,26.7612064907838,29.961349238423,2.00048821710395,146.022068460707,14.6267249507586,0.235916544727531,14.216470106945,14.3971378220507,14.6863127671653,14.8035195588629,15.0033256872349,25.6944922329631,5.14037514079504e-09,25.6944922218023,25.6944922303289,25.6944922345717,25.6944922368708,25.6944922394343,6.6563947449878,0,6.6563947449878,6.6563947449878,6.6563947449878,6.6563947449878,6.6563947449878,29.961349238423,0,29.961349238423,29.961349238423,29.961349238423,29.961349238423,29.961349238423
