"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"theta[1]",0.141916729282659,0.000239093751318901,0.0291275301149229,0.0929529192136563,0.121372020432521,0.139397422331841,0.159305128252105,0.206319736404257,14841.2632251984,1.00000449505465,0.141697155507233,0.0294679801231058,0.0923339737481921,0.120976243348678,0.138624449918778,0.159313937565393,0.207879002207262,0.141784494550442,0.0288465590839561,0.0932293966255303,0.121553074906914,0.139627331300486,0.158985563247382,0.206152801409535,0.141987920783131,0.029140898373244,0.092562007208148,0.121543210417983,0.13944110037057,0.15925724607198,0.206287940343451,0.142197346289831,0.0290530425681534,0.0937489222352211,0.12145726535189,0.139692115525231,0.159831618109928,0.205802227378809
"theta[2]",0.302763751215231,0.000266840715192488,0.0309300000079592,0.246888021437568,0.282187957327086,0.300741215553256,0.321364324750016,0.369345600483624,13435.5561491506,1.00006692827556,0.302953067800454,0.0313439914782835,0.24548016856104,0.281965501076028,0.300747615685391,0.321975613462749,0.369826237416708,0.30268291118444,0.0303009896919564,0.248219123024218,0.282534015440778,0.300534345338496,0.32081918972613,0.367859000140347,0.302275886741839,0.030726073383586,0.245637459796206,0.281725064886964,0.300537202183794,0.321235861438755,0.368080431018207,0.303143139134192,0.0313342448642397,0.24745102580235,0.282340160452106,0.301056578292981,0.321446070762573,0.370711884682132
"theta[3]",0.34139118890224,0.000137997417987505,0.0150097537068045,0.310671982730754,0.332122378846203,0.341797180512935,0.350904492904898,0.370490079371827,11830.5575054986,1.00025562243647,0.341641048971498,0.014844495041857,0.311182008716928,0.332674997054947,0.342222030856342,0.351026252414011,0.370250107480349,0.341515343453604,0.0149525651037733,0.311932387389304,0.332195308965431,0.341579123464129,0.350960945916611,0.37072116370221,0.341090555348022,0.0150621867114855,0.310353539466551,0.331511209215915,0.341478145476207,0.350802180692362,0.370487908858072,0.341317807835836,0.0151742244638982,0.3095540069499,0.332164148357967,0.341810404838367,0.35090301156718,0.370538327944645
"z_init[1]",48.5056702204505,0.0543775304814987,6.55526492755854,36.6299090256676,44.0381117726921,48.1117632587856,52.5267095648659,62.5399427694929,14532.5402777534,1.00011132898647,48.5193471936106,6.48877165860988,36.6904331532049,44.1376034201749,48.201255307292,52.5755983468588,62.2985651914112,48.6142056016153,6.5987340759418,36.8017420181797,44.0980923512646,48.170846879778,52.5727014596543,62.5551514445059,48.4393076608693,6.64265067719156,36.4846086228059,43.897176620076,47.9768587037752,52.5583359852918,62.6864505944191,48.4498204257066,6.48900120451861,36.5880182847207,44.0462777313597,48.1070357302644,52.4134277469897,62.4907989608158
"z_init[2]",243.659596682158,0.0589360943853641,6.67626057627423,228.713082983795,239.783332222407,244.227633167868,248.096775472164,255.498665562895,12832.2807645395,1.000259774643,243.748228326013,6.65589833269507,228.488334411839,240.022547943889,244.36794356616,248.148861646527,255.469822446755,243.704535438209,6.62638444651496,229.407736002923,239.662235194131,244.157449535738,248.117082338456,255.642454944469,243.542937100139,6.73314973539394,228.448612589837,239.611092743975,244.074386664466,247.994574857953,255.578344258287,243.642685864269,6.68836022687989,228.462487954464,239.84751172655,244.316761394178,248.116013103767,255.352282276328
"sigma[1]",0.254238091750001,0.00034283054511,0.0475225143746116,0.181385146182184,0.220378494105699,0.247311958818224,0.280790628866619,0.366196767666313,19214.9740809778,1.00014642784361,0.253313661030009,0.0472235279138797,0.180412946079528,0.219791651047851,0.246500267959182,0.279194632693565,0.364178003953571,0.254300003919771,0.0476304942570878,0.182968892944993,0.220306705422858,0.247080414726577,0.280344473339778,0.36737321797722,0.253919735100354,0.0468912096902702,0.18153968695533,0.220702147709503,0.246997744820254,0.280345298528443,0.365348739409671,0.25541896694987,0.0483153132927219,0.180993527180402,0.220529156466983,0.2488166418754,0.283090110294645,0.36852713087944
"sigma[2]",0.236068581778667,0.000306999423255812,0.0426634951369747,0.167828612195668,0.205616243658511,0.23075384597554,0.260365550035809,0.335475224801144,19312.4665115266,0.999980654927275,0.236277483786033,0.0431435340960145,0.167644365330718,0.205289245651903,0.230734971026596,0.261189810155067,0.337214225018206,0.235773463840869,0.0421827454784046,0.168866173681125,0.205707481027159,0.230702707374989,0.259659017863307,0.333955043406347,0.235980098008192,0.0423893721976423,0.167076433542401,0.206161882924352,0.231085327914002,0.259967765643564,0.333931511016706,0.236243281479575,0.0429355895423288,0.16793255073792,0.205396888768497,0.230544261059255,0.260873069293823,0.33642249317505
"z[1,1]",41.0947045047157,0.0305648188858685,4.49354065657616,32.7564793691133,38.1087861963527,40.9067257016492,43.863850959019,50.5426907558971,21613.9278554714,0.99997835877693,41.0696315843408,4.45310324812961,32.7411621869495,38.1194169159364,40.8545825197938,43.9258963954484,50.4199617507175,41.1637040681852,4.50877226284325,32.844529228912,38.1812662921975,40.9969355823526,43.9045723344684,50.5815294001018,41.081304651963,4.52665623657124,32.7487661193297,38.0116539851366,40.8663088162044,43.9097849604919,50.6581667030807,41.0641777143737,4.48524408302345,32.7492689031613,38.0997614605675,40.9045464243647,43.7254422059898,50.5190359337598
"z[1,2]",233.095111419315,0.0652800311433051,7.17116513679794,218.23073479111,228.463385831819,233.343800122942,237.94585333901,246.583639328452,12067.5398358828,1.00015133741793,233.132163430806,7.16560005658211,218.02468759751,228.589333444771,233.480193943897,238.037371033411,246.342524024325,233.156597288844,7.10735578362002,218.803941965305,228.489460411082,233.313525740579,237.964781216136,246.488549120041,232.985648027654,7.24851952068575,217.973014777049,228.222064582305,233.219235623793,237.875905682507,246.706795837025,233.106036929955,7.16234909542755,217.992136815261,228.573157040589,233.40271074116,237.905005723588,246.722389464853
"z[2,1]",39.0039809098978,0.022654491826406,3.95414909537117,31.5371505909133,36.3221542769773,38.9031614505486,41.5549656870423,47.1185038527342,30464.736921131,1.00009116389332,38.9645195114429,3.91932901046372,31.4231028241054,36.2696011570425,38.8850196569741,41.5471811996868,46.870840708334,39.0452800084938,3.96921657027753,31.5602817063131,36.3739241901275,38.9539916223802,41.5861426918138,47.2607583810116,39.0321952761391,3.97019537391325,31.6773071027046,36.3208069033176,38.8614928943451,41.5869706405035,47.3962464318531,38.9739288435154,3.95760501557904,31.4415382555446,36.3166933727515,38.9038962849238,41.4817671477288,46.975437349199
