"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"theta[1]",1.31565122782783,1.17029757386985,1.65511266482182,0.343563253336446,0.35640546895236,0.363849348672168,1.33680269035836,4.19536731116197,2.00014975976904,188.006657920249,4.18230827222794,0.0106429027786205,4.16064184434194,4.17564910265682,4.18242499690932,4.18923443117996,4.20273975968832,0.360114516420412,0.00898778790433332,0.342223873052652,0.354159123324355,0.360212284313782,0.366078055739432,0.377841475227556,0.360150265461152,0.00896107290243815,0.34193728312909,0.354380236765835,0.360276059614598,0.366008962027229,0.377550247102852,0.360031857201804,0.00894362684658253,0.342491829098087,0.354059491835514,0.360014976031512,0.36599073339245,0.377364905018591
"z_init[1]",1186.45474719908,1411.93138062823,2162.37783163698,39.9681241112906,51.2168852416502,58.5482350269463,384.743538842761,6896.58205232163,2.34550292809018,2.49896517395076,4580.27980400771,1829.13924330663,2226.81473920785,3335.24029648126,4188.14536057895,5365.9111673217,9271.16170717977,55.2107003828575,8.76084466934083,39.2325355988051,49.154243574439,54.783382233801,60.7996365850222,73.8886028178351,55.1817716730304,8.76406737724285,38.9464574459404,49.205812394992,54.9205275256392,60.6339321906155,73.1213812073317,55.1467127327035,8.75219522616094,38.8976781263565,49.2821044125119,54.7381309288262,60.6609425991723,73.6878045822945
"z_init[2]",253.360590618043,0.140936699873042,19.9630859384244,212.356511420647,246.715512756119,252.522407041012,258.222933032572,304.289503853592,20063.5212717369,1.0029006685744,255.846391600814,38.1060730736589,193.87724064238,229.980766012907,251.384283754321,276.955124405092,345.502024463648,252.530416446356,6.65940691728958,238.968994793373,248.206657697466,252.651676554474,256.855104120463,265.365462513984,252.581228716824,6.70899699053521,238.910337980812,248.244750373314,252.681302171358,257.122954444929,265.370447703965,252.484325708179,6.67406612489265,239.205466993418,248.185703007402,252.469261078061,256.832569634535,265.737198729863
"sigma[1]",7.89170588281289,9.36426226090733,13.3901168389679,0.198375363737958,0.244678698540929,0.283026143192052,5.15151415032483,36.5994834545938,2.04466233359568,6.40493391736621,30.7596361263398,4.46114537323326,23.5040788029172,27.6141414158966,30.2111512445904,33.3477842965043,40.5613769032301,0.268242136653483,0.0471611207552171,0.195219197004968,0.234946154220777,0.261773354510617,0.295164384922552,0.377699725848678,0.269544817324898,0.0484829348198797,0.194206094754265,0.235202151330317,0.263171924042613,0.296811256532958,0.381639476866628,0.269400450933372,0.0476640755278533,0.196115345543599,0.235693987143854,0.262702759021358,0.295321447842302,0.38035535989047
"sigma[2]",0.196534883584102,0.00909757134844089,0.0360648872814726,0.135050100713547,0.171717580515029,0.19310890495856,0.217508404477709,0.2775474469991,15.7151386786636,1.071748752208,0.175350115656102,0.0346227526530227,0.123581472628692,0.150674491812347,0.170151466024264,0.194386647860228,0.257366346164605,0.203631888584803,0.0336101754382898,0.150256017207854,0.179615111725518,0.199500426549481,0.222700882996778,0.281368078682233,0.203556983126505,0.0332043935046854,0.150609742569551,0.180121814597977,0.199471297027033,0.222737414564701,0.280635251448163,0.203600546968999,0.0342597253252226,0.149725548347356,0.179983551055101,0.199203886672796,0.222251386944958,0.282157917582452
"z[1,1]",11267.707063928,14107.0556270607,22371.3690503796,30.0831225326655,36.8132343312183,41.2307489708128,1808.23565019935,72907.3920295499,2.51485162355261,2.1296814093214,44952.9901322156,22112.8992678247,16790.9200667536,29838.277628947,40090.1781727148,54365.2053024299,101955.571029647,39.3013587239241,5.43497078499577,29.6759575971542,35.614517715131,38.9532062212733,42.6172769945881,51.2183101385529,39.2625774871415,5.42927421933801,29.4456587894284,35.5375804066118,38.9875112176604,42.6130026552129,50.7524365620014,39.2741872852221,5.42323572487268,29.4471531779236,35.6186347408179,38.9575444002886,42.5920318717053,50.8519774973612
"z[1,2]",221.375265917432,20.9994206543341,31.0527092504712,149.434843641773,217.204826380687,235.543326276923,241.099678249971,250.67053286083,2.18667564259574,3.23556894413479,170.569876735699,16.7133947617137,137.547877410142,159.868858445296,170.629155997141,181.611077379339,203.250398025316,238.3254087735,6.72505636933097,224.66675843448,234.010381570665,238.402518839736,242.837581297299,251.345031957804,238.331643532381,6.74271771995415,224.737891430455,233.943918688161,238.47393444573,242.751058217703,251.69689329321,238.274134628149,6.73902932318937,224.923451893282,233.874935469261,238.28853812479,242.649427725721,251.721296619457
"z[2,1]",134466.746489573,168996.159342411,268883.610458081,27.0061588249318,31.6168031307151,34.7255566367346,19856.5146776471,877590.455801692,2.53148286686513,2.10388918752584,537766.955000177,268934.023473334,196757.314160921,353955.857624943,478518.406674751,652176.423891368,1231305.27252123,33.3572482012709,3.74305284801324,26.5538996681143,30.8238485158877,33.1632408980998,35.6271617925301,41.577303462191,33.3247884064013,3.75002655782417,26.6258605777097,30.7353308571065,33.1072896198811,35.6407637857189,41.2333327839647,33.3489215083485,3.73788208495205,26.4756657661122,30.861008759976,33.1562183680585,35.6494654005753,41.3470649540616
"z[2,2]",206.425076306543,16.0726383485345,24.0023918885937,149.728680779574,202.661326507666,216.997992052622,221.73443169068,229.918563582668,2.2301532057928,2.94724932545314,167.636216665857,14.1735798881501,138.724963060127,158.443463999957,168.020288234167,177.168824584973,194.841456087036,219.375111103952,5.6877252711515,208.105692122407,215.639335433427,219.307450500677,223.130551698993,230.680693340494,219.347966272373,5.69102159270211,208.12019623243,215.633165066691,219.423023946706,223.044471709031,230.585339770505,219.341011183989,5.71853847863094,208.069429588273,215.607788334819,219.391219063223,223.031738319654,230.875086382337
"z[3,1]",1635357.75115636,2055867.87984375,3271962.36652662,29.0464743492744,33.2882407302762,36.0528442583537,239749.550731527,10679722.0499504,2.53294755092824,2.10167942179367,6541326.61535713,3275908.95793308,2389219.53871628,4301951.66016198,5819758.14233458,7934966.24594954,14989324.6230369,34.8047946502682,3.37649278869919,28.6386755050918,32.5402211541185,34.6424248616925,36.8928901988777,42.0520849384804,34.7803065837189,3.34853740754579,28.7197295348435,32.4452380697071,34.6430512672117,36.8295440827481,41.8893481444545,34.8041670772362,3.36097512868729,28.6238566511796,32.5292178012577,34.6535008264329,36.8312737149254,41.7985740835034
