"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"theta[1]",1.61104856450434,1.2167274082318,1.72075542185578,0.278051978752618,0.528012348397935,0.803679740688865,1.88671595679527,4.558782797887,2.00010000500025,118531759449248,0.611332471613041,0,0.611332471613041,0.611332471613041,0.611332471613041,0.611332471613041,0.611332471613041,4.558782797887,0,4.558782797887,4.558782797887,4.558782797887,4.558782797887,4.558782797887,0.996027009764689,0,0.996027009764689,0.996027009764689,0.996027009764689,0.996027009764689,0.996027009764689,0.278051978752618,0,0.278051978752618,0.278051978752618,0.278051978752618,0.278051978752618,0.278051978752618
"theta[2]",3.4210474148631,0.901153742184094,1.27445570577093,1.78126778414636,2.67148558676287,3.29746396620404,4.04702579430427,5.30799394289797,2.00010000500025,29793607884258.2,2.96822485430171,0,2.96822485430171,2.96822485430171,2.96822485430171,2.96822485430171,2.96822485430171,3.62670307810636,0,3.62670307810636,3.62670307810636,3.62670307810636,3.62670307810636,3.62670307810636,1.78126778414636,0,1.78126778414636,1.78126778414636,1.78126778414636,1.78126778414636,1.78126778414636,5.30799394289797,0,5.30799394289797,5.30799394289797,5.30799394289797,5.30799394289797,5.30799394289797
"z_init[1]",1.79334749691439,0.467220332144587,0.660765849688074,0.974641372678591,1.26152902353138,1.7780260616554,2.30984453503841,2.64269649166816,2.00010000500025,28716252876114.6,2.19889388282849,0,2.19889388282849,2.19889388282849,2.19889388282849,2.19889388282849,2.19889388282849,1.35715824048232,0,1.35715824048232,1.35715824048232,1.35715824048232,1.35715824048232,1.35715824048232,2.64269649166816,0,2.64269649166816,2.64269649166816,2.64269649166816,2.64269649166816,2.64269649166816,0.974641372678591,0,0.974641372678591,0.974641372678591,0.974641372678591,0.974641372678591,0.974641372678591
"z_init[2]",3.47410582520143,2.34206736889519,3.31226624477428,0.139551024506507,0.184349017878928,3.33185241401894,6.62160922134145,7.09316744826134,2.00010000500025,34223049771792.5,7.09316744826134,0,7.09316744826134,7.09316744826134,7.09316744826134,7.09316744826134,7.09316744826134,0.199281682336402,0,0.199281682336402,0.199281682336402,0.199281682336402,0.199281682336402,0.199281682336402,0.139551024506507,0,0.139551024506507,0.139551024506507,0.139551024506507,0.139551024506507,0.139551024506507,6.46442314570149,0,6.46442314570149,6.46442314570149,6.46442314570149,6.46442314570149,6.46442314570149
"sigma[1]",3.01989078471026,1.23277476531822,1.74345037926865,1.05491511171035,1.62601528160358,2.73211483898007,4.12599034208674,5.56041834917055,2.00010000500025,32680237706405.4,1.05491511171035,0,1.05491511171035,1.05491511171035,1.05491511171035,1.05491511171035,1.05491511171035,3.64784767305881,0,3.64784767305881,3.64784767305881,3.64784767305881,3.64784767305881,3.64784767305881,5.56041834917055,0,5.56041834917055,5.56041834917055,5.56041834917055,5.56041834917055,5.56041834917055,1.81638200490132,0,1.81638200490132,1.81638200490132,1.81638200490132,1.81638200490132,1.81638200490132
"sigma[2]",2.33520268809635,1.54748815385013,2.18853344880671,0.377439687043383,0.91236039863297,1.47372753033353,2.89656981979691,6.01591600467495,2.00010000500025,45983265707380.8,6.01591600467495,0,6.01591600467495,6.01591600467495,6.01591600467495,6.01591600467495,6.01591600467495,1.09066730249617,0,1.09066730249617,1.09066730249617,1.09066730249617,1.09066730249617,1.09066730249617,1.85678775817089,0,1.85678775817089,1.85678775817089,1.85678775817089,1.85678775817089,1.85678775817089,0.377439687043383,0,0.377439687043383,0.377439687043383,0.377439687043383,0.377439687043383,0.377439687043383
"z[1,1]",5.23875267350586,1.5937376239284,2.25394171187099,2.57758387299093,3.82207531293889,4.82245843061567,6.23913579118264,8.73250995980116,2.00010000500025,30775634405431.6,5.4080110683098,0,5.4080110683098,5.4080110683098,5.4080110683098,5.4080110683098,5.4080110683098,4.23690579292154,0,4.23690579292154,4.23690579292154,4.23690579292154,4.23690579292154,4.23690579292154,8.73250995980116,0,8.73250995980116,8.73250995980116,8.73250995980116,8.73250995980116,8.73250995980116,2.57758387299093,0,2.57758387299093,2.57758387299093,2.57758387299093,2.57758387299093,2.57758387299093
"z[1,2]",32.4538884597452,1.45324751857074,2.05525373223337,29.9715243479589,30.744363924779,32.3786335470838,34.08815808205,35.0867623968544,2.00010000500025,8903021980405.5,35.0867623968544,0,35.0867623968544,35.0867623968544,35.0867623968544,35.0867623968544,35.0867623968544,29.9715243479589,0,29.9715243479589,29.9715243479589,29.9715243479589,29.9715243479589,29.9715243479589,31.0019771170523,0,31.0019771170523,31.0019771170523,31.0019771170523,31.0019771170523,31.0019771170523,33.7552899771152,0,33.7552899771152,33.7552899771152,33.7552899771152,33.7552899771152,33.7552899771152
"z[2,1]",7.8858077869616,2.55349473907405,3.61127717450478,3.78037833786614,5.68717097752929,7.07224282865305,9.27087963808536,13.6183671526742,2.00010000500025,96885772096466.8,7.82171713322242,0,7.82171713322242,7.82171713322242,7.82171713322242,7.82171713322242,7.82171713322242,6.32276852408368,0,6.32276852408368,6.32276852408368,6.32276852408368,6.32276852408368,6.32276852408368,13.6183671526742,0,13.6183671526742,13.6183671526742,13.6183671526742,13.6183671526742,13.6183671526742,3.78037833786614,0,3.78037833786614,3.78037833786614,3.78037833786614,3.78037833786614,3.78037833786614
"z[2,2]",53.7365578281556,1.19828776371601,1.69467717453187,51.4230162051428,52.4732599563998,53.9776597870743,55.2409576588301,55.567895533331,2.00010000500025,1280012336766.9,55.567895533331,0,55.567895533331,55.567895533331,55.567895533331,55.567895533331,55.567895533331,51.4230162051428,0,51.4230162051428,51.4230162051428,51.4230162051428,51.4230162051428,51.4230162051428,55.1319783673298,0,55.1319783673298,55.1319783673298,55.1319783673298,55.1319783673298,55.1319783673298,52.8233412068188,0,52.8233412068188,52.8233412068188,52.8233412068188,52.8233412068188,52.8233412068188
"z[3,1]",9.87109057511324,3.33688404702616,4.71918465646201,4.63174275456333,7.02014367043709,8.70491778713559,11.5558646918117,17.4427839716184,2.00010000500025,23557014057908.6,9.5935582652095,0,9.5935582652095,9.5935582652095,9.5935582652095,9.5935582652095,9.5935582652095,7.81627730906168,0,7.81627730906168,7.81627730906168,7.81627730906168,7.81627730906168,7.81627730906168,17.4427839716184,0,17.4427839716184,17.4427839716184,17.4427839716184,17.4427839716184,17.4427839716184,4.63174275456333,0,4.63174275456333,4.63174275456333,4.63174275456333,4.63174275456333,4.63174275456333
"z[3,2]",69.42626891335,2.22862855526801,3.15183552522508,66.1837983921576,66.7087930376188,68.7334642392089,71.45094011494,74.0543487828246,2.00010000500025,7472803597541.5,70.5831372256452,0,70.5831372256452,70.5831372256452,70.5831372256452,70.5831372256452,70.5831372256452,66.8837912527726,0,66.8837912527726,66.8837912527726,66.8837912527726,66.8837912527726,66.8837912527726,74.0543487828246,0,74.0543487828246,74.0543487828246,74.0543487828246,74.0543487828246,74.0543487828246,66.1837983921576,0,66.1837983921576,66.1837983921576,66.1837983921576,66.1837983921576,66.1837983921576
"z[4,1]",11.224849415909,3.91210751651584,5.5326938263931,5.179738648637,7.8726422771773,9.78397098620482,13.1361781249366,20.1517170425895,2.00010000500025,48816731090027.3,10.7976651523856,0,10.7976651523856,10.7976651523856,10.7976651523856,10.7976651523856,10.7976651523856,8.77027682002407,0,8.77027682002407,8.77027682002407,8.77027682002407,8.77027682002407,8.77027682002407,20.1517170425895,0,20.1517170425895,20.1517170425895,20.1517170425895,20.1517170425895,20.1517170425895,5.179738648637,0,5.179738648637,5.179738648637,5.179738648637,5.179738648637,5.179738648637
"z[4,2]",81.0182079924357,3.55842550552869,5.03249942467132,75.5501337841593,77.4081996927768,79.8112693919009,83.4212776915598,88.9001594017818,2.00010000500025,2456945049933.83,81.5949837881525,0,81.5949837881525,81.5949837881525,81.5949837881525,81.5949837881525,81.5949837881525,78.0275549956493,0,78.0275549956493,78.0275549956493,78.0275549956493,78.0275549956493,78.0275549956493,88.9001594017818,0,88.9001594017818,88.9001594017818,88.9001594017818,88.9001594017818,88.9001594017818,75.5501337841593,0,75.5501337841593,75.5501337841593,75.5501337841593,75.5501337841593,75.5501337841593
"z[5,1]",10.6411570775586,3.6476209908149,5.15864404332042,5.08318321803723,7.24136915681913,9.28591828654969,12.6857062072892,18.909608519098,2.00010000500025,32961190645986,10.6110721033529,0,10.6110721033529,10.6110721033529,10.6110721033529,10.6110721033529,10.6110721033529,7.96076446974643,0,7.96076446974643,7.96076446974643,7.96076446974643,7.96076446974643,7.96076446974643,18.909608519098,0,18.909608519098,18.909608519098,18.909608519098,18.909608519098,18.909608519098,5.08318321803723,0,5.08318321803723,5.08318321803723,5.08318321803723,5.08318321803723,5.08318321803723
"z[5,2]",89.5876257317792,4.8495118346978,6.85841687008353,82.1044872832618,85.0694097060819,87.8591886805535,92.3774047062509,100.527638282748,2.00010000500025,4626841864347,89.6606601807518,0,89.6606601807518,89.6606601807518,89.6606601807518,89.6606601807518,89.6606601807518,86.0577171803552,0,86.0577171803552,86.0577171803552,86.0577171803552,86.0577171803552,86.0577171803552,100.527638282748,0,100.527638282748,100.527638282748,100.527638282748,100.527638282748,100.527638282748,82.1044872832618,0,82.1044872832618,82.1044872832618,82.1044872832618,82.1044872832618,82.1044872832618
"z[6,1]",0.430351184355362,0.357320343961521,0.50533991019788,-0.000432088919601873,-0.000372788334189865,0.24352626881486,0.674250241504412,1.23478428871133,2.00010000500025,52364815114656.9,0.487405559102106,0,0.487405559102106,0.487405559102106,0.487405559102106,0.487405559102106,0.487405559102106,-0.000353021472385863,0,-0.000353021472385863,-0.000353021472385863,-0.000353021472385863,-0.000353021472385863,-0.000353021472385863,-0.000432088919601873,0,-0.000432088919601873,-0.000432088919601873,-0.000432088919601873,-0.000432088919601873,-0.000432088919601873,1.23478428871133,0,1.23478428871133,1.23478428871133,1.23478428871133,1.23478428871133,1.23478428871133
"z[6,2]",94.173745346979,5.0564157140247,7.15103045776637,86.4478642957783,88.9600707598479,92.4500985267153,97.6637731138465,105.346920038707,2.00010000500025,4783440933765.17,95.1027241388929,0,95.1027241388929,95.1027241388929,95.1027241388929,95.1027241388929,95.1027241388929,89.7974729145377,0,89.7974729145377,89.7974729145377,89.7974729145377,89.7974729145377,89.7974729145377,105.346920038707,0,105.346920038707,105.346920038707,105.346920038707,105.346920038707,105.346920038707,86.4478642957783,0,86.4478642957783,86.4478642957783,86.4478642957783,86.4478642957783,86.4478642957783
