"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"theta[1]",0.0144821641651424,2.44626747643953e-06,0.000353204739490572,0.0138264000338927,0.0142467114358538,0.0144658658800945,0.0147013019531414,0.0152265891234327,20847.0766123057,0.999969233509866,0.0144798392434056,0.000352294636561402,0.0138260856215521,0.0142434435451305,0.0144660869296015,0.0146952855142302,0.0152293671990813,0.01448445805111,0.000354752941695065,0.0138254726103604,0.0142445613437795,0.014465220378941,0.0147057692815163,0.0152287502182769,0.0144784265132977,0.00035025113534858,0.0138263286420064,0.0142457762585608,0.014462089138368,0.0146983021540836,0.0152136592770782,0.0144859328527562,0.00035549390895432,0.0138300340509615,0.0142544433168799,0.0144702890034178,0.0147049102024983,0.015233776912411
"theta[2]",0.223258908700912,0.000137929740551046,0.0189631275413177,0.187603550772065,0.210415345572381,0.222595608493716,0.235315956487502,0.262436707046179,18901.8404705225,1.00036228024118,0.223140223753946,0.018965283264041,0.186584814871136,0.210331315217211,0.222830459874227,0.235202062133211,0.26132375410541,0.223336416455952,0.0188557908237727,0.188074281740143,0.210328806598689,0.222581269526735,0.2356306640255,0.261882149309959,0.222792790338289,0.018858430320656,0.187184011401853,0.210112666651079,0.222153895894308,0.234852112680882,0.261560386158603,0.223766204255459,0.0191611781020283,0.188308487314166,0.210828531636818,0.222870413482452,0.23569064818048,0.264809405431246
"theta[3]",0.382409884431694,0.000115949958500418,0.0142125579380115,0.354598904294052,0.373087626864734,0.382324344438464,0.391736537462663,0.410604458973541,15024.6132347254,1.00037331157209,0.382225584160119,0.014402608522124,0.354049251152289,0.372763542520178,0.38221104930228,0.391634294617045,0.411208897231482,0.382570661049102,0.0140678133821591,0.355041523478571,0.37330230665203,0.382447296283635,0.39184670808444,0.410334750504375,0.381985128674388,0.0139143699822009,0.354112622055007,0.373042480223616,0.382109173910104,0.391233085617257,0.409279996830541,0.382858163843165,0.0144450125770213,0.355253025620663,0.373248348008829,0.382595989634552,0.39236733369359,0.412018769136834
"z_init[1]",49.8268641050522,0.0634481966732072,8.32257268034642,35.3696305633469,43.9923235731171,49.1792752699226,55.0087576164196,67.9747199554505,17205.8695888013,1.00044019229657,49.7569959641321,8.38732299380692,35.1106551798907,43.9199542686392,49.1198498688782,54.9369758006205,68.0650479250049,49.8662116398414,8.26101355938314,35.5607990834783,43.9969027863714,49.2747265745081,55.0873275472021,67.5810742102036,49.6306813274923,8.20103783676118,35.2519485271111,43.8388308537227,49.0484588707623,54.7773021034857,67.3301369723044,50.0535674887429,8.43426170845274,35.4973251257669,44.1843665458868,49.2754716534656,55.2583955858107,68.5632777022353
"z_init[2]",208.4663190435,0.0549701455909638,7.44920611338971,193.332977468008,203.694441030292,208.639877299485,213.443444300103,222.731245808055,18363.9544803886,1.00027360201745,208.401370115648,7.5039105952076,193.282862728851,203.591327212589,208.538111373823,213.357464877829,222.898461994717,208.527226829936,7.38256446473159,193.441605528935,203.839848885599,208.701904668424,213.481040212954,222.64160719861,208.353666229099,7.50097481355845,193.030045331609,203.510721077654,208.529945571077,213.434841362227,222.672928593912,208.583012999318,7.40739769510626,193.447619192915,203.857114548174,208.766523353087,213.516195279745,222.699845970095
"sigma[1]",0.266568934513004,0.000300872916632991,0.0474121053038424,0.19279889743389,0.232831507204134,0.260466123850028,0.293166270928128,0.375169659751417,24832.0336734365,1.00002664765212,0.267069497551188,0.0466144066130859,0.194203321943018,0.233639654585462,0.261189443653282,0.294670778590893,0.37280736505853,0.266653833964643,0.0477993676789842,0.191754276982318,0.233038734828315,0.260419981038167,0.293486812130065,0.374237614836426,0.266345401643767,0.047979578907634,0.193407674374383,0.231986972126728,0.260187325667425,0.292203613919989,0.378558213567617,0.266207004892418,0.0472455726543254,0.191703973416931,0.232807631260167,0.260027357683373,0.292672867925859,0.374174535414779
"sigma[2]",0.0982736024434589,0.000114014185068588,0.0180326861755083,0.0700722542907111,0.0855448109470489,0.0958465739026771,0.108334372085733,0.13993163720386,25015.1478754058,1.00010658812419,0.0982630648081632,0.0183108041717118,0.069975744115362,0.0854441811180463,0.0956666191444279,0.108074864669367,0.141197157109811,0.0980630280104499,0.0175933534224306,0.0702054316845956,0.0856394491377616,0.095714317727531,0.107910566701371,0.138762521611561,0.0981231534092807,0.0176876197884699,0.0703482601476772,0.0854428922772226,0.0958105392595666,0.10839370051695,0.138153425167749,0.0986451635459418,0.0185186379722501,0.0698496681834106,0.0857128565522521,0.0961616931209608,0.108930266116681,0.142551121719027
"z[1,1]",37.3213072503284,0.0285089431892972,4.54062581798461,29.4037852194397,34.1942258515145,36.9637648937182,40.0366743504348,47.2403397145917,25367.0048141578,1.00021545188779,37.3043406993022,4.55340005410955,29.2188971043017,34.1926998370472,36.9208668665122,40.0621627090039,47.1702885485836,37.3172580348186,4.53726996595683,29.4109241683931,34.1808840398089,36.9877923387197,40.0328980203806,47.1528781326984,37.2621646328512,4.48764395965353,29.53124552538,34.1654400724868,36.9489067628573,39.9738931891034,46.9337861655382,37.4014656343418,4.58321606247038,29.4904333675342,34.2260106431634,37.0058804072813,40.0688143661004,47.679503726976
"z[1,2]",193.222043464099,0.0554837459844212,7.29930494493046,179.040824264831,188.408695526648,193.144181639561,197.998466871035,207.86243599003,17307.385445175,1.00041636544848,193.17159156911,7.32499947182384,178.972017742513,188.288202344081,193.084618429049,197.891615700227,208.019566670456,193.257516190102,7.23679515017728,179.215382899219,188.581075569882,193.208257458478,198.0162316335,207.686781361388,193.082289738975,7.34817269735472,178.933293948933,188.17190136303,192.980932354957,197.848184720835,208.053604167185,193.376776358208,7.2846174343147,179.112012285678,188.591778578508,193.36441879947,198.213633819546,207.691934792478
"z[2,1]",34.2726409833348,0.0166893019264446,3.34573801198551,28.1382902398027,31.9987355774713,34.1073175463955,36.3753730186954,41.304925413025,40189.0294191276,0.999999172523736,34.2857659049676,3.35316124182263,28.0652859310376,31.9645788924912,34.1479665473538,36.4496913896639,41.3865828395281,34.2456332543092,3.34620985139055,28.1232305646072,31.9944694813559,34.1125235472738,36.3342393314116,41.2962803350299,34.3019973684922,3.35944827906398,28.1525623625582,32.0179554985869,34.1057194522834,36.3788166950889,41.3401802129074,34.2571674055702,3.32422974099414,28.2198872484447,32.0008886408824,34.072932781879,36.3521860641446,41.2191256578089
"z[2,2]",177.663271241441,0.0427771756759187,5.9731182834879,166.359897540094,173.632717045682,177.477511703865,181.504193014224,190.057790134425,19497.4589858065,1.00037456300112,177.642904466265,5.95648558615823,166.440249492104,173.600716854081,177.463459019039,181.474685587244,190.066562874368,177.666123564905,5.95403941845998,166.521772404102,173.710425780859,177.502907612807,181.532980518907,189.937935576928,177.573282525344,6.00773585285804,166.263485258667,173.522729126656,177.298667479096,181.388644362583,190.273235446241,177.770774409249,5.9732735384736,166.260286809167,173.715893807375,177.656718345694,181.634909943624,189.857994972612
"z[3,1]",38.324834271472,0.0255541892672538,4.03567457853612,31.1825166502709,35.5606961896933,38.0347479550887,40.7804983945803,47.0511960252439,24940.6670144843,1.00021409860942,38.3595626688409,4.07021327310353,31.1852693818626,35.5740589950193,38.0505955104401,40.8278652059574,47.0655576301514,38.2825107817272,4.01206303998,31.1710592295079,35.5183317049954,37.958178198566,40.7887731303179,46.9059522835482,38.4177018271706,4.07093595667798,31.2160902957009,35.6736807404324,38.0948019086743,40.8466542378579,47.330489217976,38.2395618081493,3.98708705841052,31.1776545750325,35.5048567687725,38.0133904788519,40.6616538014353,46.8487805062506
"z[3,2]",166.0750522881,0.0298791945475231,4.79397632128634,157.003421974358,162.8680616122,165.94573048532,169.169959209821,175.892265391336,25742.6941669804,1.0001833102248,166.085758613469,4.74671156709382,157.135204075423,162.857560373342,166.010816121156,169.177675103871,175.83045180475,166.048188767249,4.81812385988271,157.019134107041,162.813244995382,165.938246682428,169.171433454479,175.958872413257,166.05582882644,4.80973823285053,156.968024868961,162.86230170428,165.86872655541,169.121249683095,175.907572497716,166.110432945244,4.80146886663094,156.91051816352,162.946285702751,165.975765730828,169.214052512995,175.763657507159
"z[4,1]",49.2788282815407,0.0396310675825786,5.60602543959559,39.4504292423759,45.3856907951475,48.8647179007539,52.6927938135954,61.4717409417607,20009.6082184819,1.00040045628518,49.3290479538627,5.66659622871047,39.3084455905912,45.437422173553,48.8736693729708,52.7301647883073,61.6070226306551,49.2295910267037,5.57526837981227,39.4667322745659,45.3173004069608,48.8059566934102,52.65143172898,61.4794814792533,49.4263053152737,5.62741512202418,39.6064071592836,45.5438208580581,49.0113361737073,52.8289971622193,61.6095525784284,49.1303688303228,5.55058933394727,39.4196693278815,45.2417399315585,48.7859555240328,52.508034285545,61.1524037724649
"z[4,2]",160.411321353835,0.0263722454732672,4.53218011492575,151.57766763218,157.384683062295,160.368407180425,163.382187181244,169.490742274972,29533.8525934713,1.00002141254003,160.450063820435,4.49416333398563,151.65460346097,157.469626208716,160.412762077988,163.38839619178,169.522833174816,160.35962642965,4.56940809562259,151.468535372946,157.25800200898,160.371067111126,163.406648233245,169.405987595734,160.461983262923,4.51401628774513,151.75654132534,157.46554470936,160.386413637657,163.394071401414,169.659540881829,160.373611902333,4.55052622615384,151.506978306548,157.355199944912,160.312600000467,163.329179028071,169.396048936533
