"","Time","Parasites","ImmuneCells"
"1",0,1,1
"2",1.03486118552484,19,25
"3",2.03547335136901,24,56
"4",3.04261453527373,16,78
"5",4.04895286532791,23,82
"6",5.05571028085715,15,90
"7",6.05629237856293,13,93
"8",7.0591596684866,10,92
"9",8.05983649841163,18,105
"10",9.06187697880645,24,113
"11",10.0631224226172,24,105
"12",11.0682427902298,8,110
"13",12.0749836002999,10,108
"14",13.0771653474484,14,99
"15",14.0914627103215,12,93
"16",15.0960932315015,18,87
"17",16.1244563960829,19,82
"18",17.129295015315,23,81
"19",18.1361436136754,19,80
"20",19.1383777822875,18,97
"21",20.1385227120723,22,88
"22",21.1408586871816,16,94
"23",22.1420785457303,18,94
"24",23.1476845986479,14,94
"25",24.1564704972736,14,103
"26",25.1632750494567,13,102
"27",26.1666452488235,19,102
"28",27.1862005356351,19,92
"29",28.1867316065815,15,86
"30",29.1949396789193,9,85
"31",30.2025072698768,23,89
"32",31.2080793095184,22,100
"33",32.2083099752036,11,97
"34",33.2110847365709,17,98
"35",34.2121553573768,33,98
"36",35.2145870689645,19,98
"37",36.2189291002629,17,105
"38",37.2229651042722,20,78
"39",38.2256707703791,24,73
"40",39.229116200464,20,85
"41",40.2362179003323,19,88
"42",41.2386118221692,24,98
"43",42.240691001782,14,91
"44",43.240810339745,21,79
"45",44.2409006611381,13,72
"46",45.240943568954,32,73
"47",46.2472334296483,13,93
"48",47.2473669132396,14,87
"49",48.2479005140666,24,82
"50",49.2486012301814,20,98
"51",50.253785307403,16,86
"52",51.2558346456901,20,98
"53",52.2595938384304,16,102
"54",53.2598314899057,12,93
"55",54.261143652728,20,96
"56",55.2633869885908,17,94
"57",56.2642430039966,19,98
"58",57.2750934328132,15,88
"59",58.2786135103358,18,96
"60",59.2912560409086,21,85
"61",60.292435558154,20,90
"62",61.2972200312831,18,95
"63",62.29730358366,17,95
"64",63.3070742565275,16,85
"65",64.3236052222439,17,84
"66",65.326440975516,14,83
"67",66.3292812856,17,97
"68",67.3404319708455,17,74
"69",68.3412826632678,19,70
"70",69.3434166686643,20,72
"71",70.3450186510033,24,84
"72",71.3493853599213,18,79
"73",72.3501397799013,22,84
"74",73.3627945590351,15,86
"75",74.3650814951842,25,87
"76",75.3793869336473,10,90
"77",76.3864318178659,18,91
"78",77.3880377920452,10,81
"79",78.3923365501641,21,77
"80",79.3929117751784,26,78
"81",80.3943431952219,25,85
"82",81.4009817831695,16,83
"83",82.406511771167,24,80
"84",83.4205418449246,19,96
"85",84.4209753605701,14,84
"86",85.4220148539265,15,86
"87",86.4301508778982,21,94
"88",87.4325572302238,11,100
"89",88.4354158758156,17,82
"90",89.4367232128871,26,84
"91",90.436885955693,15,88
"92",91.4403331373308,19,76
"93",92.4551616020514,18,77
"94",93.4560129491022,18,85
"95",94.4636046765177,19,88
"96",95.4744199764509,20,88
"97",96.4809004574462,18,87
"98",97.4852274975693,13,86
"99",98.4888462076384,15,85
"100",99.4968593706144,19,89
"101",100.009021243448,12,100
