Time,Parasites,ImmuneCells
0,1,1
1.7915600172304929,2,1
4.7711509744396245,3,1
7.673297465760848,4,1
9.068279511433747,6,1
10.332221667296146,7,1
11.3924573467385,11,1
12.695338827325095,15,1
13.791465178149585,16,1
14.901250462824553,21,1
16.000912829382237,27,1
17.17376197153793,31,1
18.177397281971647,40,1
19.23457301559113,53,1
20.519577613110137,63,1
21.52814557210247,81,1
22.57346596426695,101,1
23.612952968024945,115,1
24.638411662429128,137,1
25.652837620004057,155,1
26.66136764817258,189,1
27.672989329343654,224,1
28.675776322569607,278,1
29.681692493524665,340,1
30.689415114212512,406,1
31.714550058568463,498,2
32.71542455269555,593,5
33.78105654342479,670,12
34.799986634435975,709,18
35.83725020394752,718,23
36.90048444464476,648,34
37.94030164708728,527,52
39.006277906133455,292,78
40.03999895217202,152,92
41.055490004570885,86,100
42.071491975972066,31,106
43.155651614250296,14,108
45.78142527536849,4,115
47.40083523186122,2,120
