Time,Parasites,ImmuneCells
0,80,200
1.0039419777394347,138,254
2.017434722255185,152,296
3.0405579522605954,95,325
4.081547068552875,43,332
5.260111856955769,18,334
6.30168526371114,11,313
7.412722901175842,14,300
8.455706272159937,14,283
9.548460499810096,8,270
10.62790177041933,41,260
11.627963319159965,40,261
12.641153925105794,87,270
13.653477376120522,124,289
14.653654296793398,108,320
15.682651012213622,83,313
16.689973072546756,63,318
17.810028257651613,27,317
18.955032452976532,28,300
20.000117802736856,33,289
21.09973144645205,34,277
22.17573780341472,13,272
23.311419258528154,22,261
24.37012871942181,10,249
25.394725721046644,38,232
26.420864493966818,66,235
27.43616482924088,73,250
28.473384043708183,51,268
29.485253544470368,95,292
30.50992504148157,72,303
31.580175492651744,43,297
32.60467241373987,22,298
33.65602841725404,29,261
34.72197831073113,38,272
35.79343483385649,40,266
36.84932753249132,12,268
37.86312368025558,15,255
38.93025203425276,14,239
39.939229919157505,22,232
41.03078383944137,18,241
42.040936707228035,50,235
43.06583746718345,49,237
44.08705047629448,74,248
45.089216964116524,102,274
46.10522518737966,105,280
47.11262660832327,79,288
48.11986098034689,75,274
49.13705712988691,59,280
50.189336284975646,37,286
51.20545510918307,22,276
52.311530995192626,18,258
53.32214154519235,18,243
54.37038428074304,29,249
55.37849458362593,39,265
56.382726788458996,50,281
57.41217823155422,61,291
58.419537811036214,74,292
59.44208393361907,75,308
60.482839383851875,56,343
61.57032182544816,33,358
62.71948934247317,14,345
63.747321834527064,12,312
64.83055791249396,13,290
65.9424404513519,15,275
67.08203010860697,29,269
68.10903957546222,36,262
69.1366093865787,72,268
70.15371664181916,92,292
71.19905587342944,63,290
72.24690871416585,54,308
73.2721379814164,83,303
74.28011407147382,59,296
75.28790005013572,44,287
76.35834788184837,48,280
77.45342788565954,39,291
78.48826827864067,40,320
79.51556322244953,33,307
80.59813291748908,38,296
81.65133071327479,43,291
82.79684226785156,19,304
83.88691716404894,8,303
84.97497513244807,16,300
86.09649534647095,33,297
87.19986633324042,42,297
88.21388147804564,59,289
89.21827612247262,46,298
90.2381234034628,46,293
91.34750524914296,34,292
92.491599918369,30,292
93.54084785417747,29,267
94.58357480385642,31,272
95.63126736731908,62,275
96.63310559855756,72,286
97.6364066975455,80,296
98.65280805729171,73,302
99.67581690930388,79,329
100.01520064930936,88,330
