Time,Parasites,ImmuneCells
0,80,200
1.000753848095517,173,237
2.0012218319277832,217,296
3.0122409188669583,167,361
4.022094907587555,90,382
5.079344304373277,29,392
6.095247935484188,7,360
7.100549864848778,10,326
8.179987757117557,7,295
9.315317932948572,16,275
10.371642836868162,16,273
11.41659502800572,21,256
12.424794130631813,45,240
13.441441583201561,82,243
14.444019985782173,140,262
15.453559076062849,169,323
16.470767031242428,99,398
17.491605375126184,42,405
18.49564077621985,12,383
19.49777687386039,8,361
20.55710923787225,16,329
21.59277859329202,18,300
22.699959711552534,29,286
23.725892299316797,36,289
24.781400936099654,54,290
25.796741210763106,65,290
26.801382560690673,93,296
27.805567829633283,102,314
28.817667876665723,100,332
29.860615894980125,56,364
30.890003452272804,22,352
31.938213885086423,28,340
33.05108819518846,18,304
34.16184849962915,10,278
35.26405443261979,17,266
36.32722646993169,31,280
37.34745022311045,33,255
38.37888116800649,43,260
39.39760375391875,50,278
40.40491088727989,55,276
41.44831857088863,64,277
42.448643101233785,43,294
43.45720615391795,51,282
44.48331907909593,82,275
45.50133831924131,102,297
46.525437604986486,64,318
47.54991722178674,44,317
48.58709799655334,32,316
49.60583109410512,70,312
50.6375038936146,61,307
51.659885306465185,53,308
52.66984967677696,50,315
53.704338698762825,40,304
54.75356698072893,55,310
55.796716562632255,62,314
56.807339365442814,42,351
57.964524287006405,25,333
59.182214331702106,10,334
60.29129464099352,12,318
61.37524922066369,19,294
62.45344454919382,18,277
63.468218581828545,36,265
64.55441252781846,33,257
65.5594085724699,91,270
66.57051310813245,119,290
67.58515311670978,102,319
68.59428612593592,68,351
69.73754810692117,20,340
70.74146888129296,10,328
71.76573558795592,11,323
72.77974859219907,12,304
73.82117761056834,17,282
74.8686455916498,24,257
75.91874207001786,42,262
76.92175086929738,80,269
77.92907094926429,114,286
78.93596908542673,104,323
79.97068348997784,72,331
81.0006894494079,41,338
82.02515510233319,24,318
83.15141007500924,12,281
84.28636885657107,29,260
85.35027413543962,37,267
86.35527999257204,72,261
87.37396982555406,95,295
88.389844278339,87,327
89.41974620390475,69,342
90.47872877489174,51,318
91.51915657414924,47,311
92.65064739640773,21,292
93.77994070180736,15,285
94.930667016117,21,266
95.97953696823754,24,252
96.99487109310594,97,255
98.01408076586803,102,297
99.02977596383212,108,305
100.04607696207313,78,307
101.08927036440258,52,325
102.12114387529367,71,307
103.15037645432895,87,324
104.15124111739541,65,330
105.18074916992724,57,331
106.20916041930266,52,333
107.28475363665542,37,330
108.31699676615602,23,309
109.33043988201177,22,294
110.37042430673498,18,287
111.42770386580351,21,285
112.45188653637001,24,280
113.46375501211953,29,268
114.48673747043722,30,260
115.54274780593143,46,246
116.56149660369569,71,245
117.56812613306458,91,257
118.5781744711267,128,312
119.60020443564224,58,350
120.62331837219567,40,341
121.8052506356026,20,313
122.83659675199577,32,299
123.9090355311312,20,292
124.93966167826004,56,256
125.95937078961764,87,260
126.96662820635666,117,286
127.97141943655636,129,325
128.99481573496058,76,357
130.00183897739097,39,358
131.00375493979257,15,327
132.02628192378614,6,306
133.19654155660498,12,290
134.3326243286832,22,273
135.4269175654548,15,256
136.54709278108746,18,233
137.5995658668166,23,234
138.62423665985122,42,243
139.651209778839,45,237
140.65163015394867,88,243
141.66707685049963,131,271
142.67135840169925,91,323
143.73083756563747,40,320
144.80292594710286,35,326
145.83445632254998,47,308
146.87891450184787,27,293
148.01078869558356,14,282
149.03607552401564,19,270
150.1750042298162,30,256
151.19106738245927,59,242
152.21437045530482,97,266
153.22229901292565,134,294
154.2292760950192,123,335
155.2434329729092,81,358
156.263232622553,49,357
157.27053164893695,30,343
158.38100432601144,16,308
159.48635928660755,37,306
160.53010041582675,60,298
161.64075327963764,32,300
162.64700729017645,26,307
163.7753726933269,21,286
164.89526031616492,18,274
165.95391621254382,7,256
166.95568330866087,11,245
168.04125554282192,20,239
169.05218853174185,34,221
170.07916351159977,71,239
171.09856643422555,94,222
172.10446782212685,185,272
173.11551667267062,151,335
174.1319826765842,95,377
175.18540756556445,45,388
176.21201112338557,29,383
177.4094673859271,9,350
178.48036485038523,12,328
179.6226126767671,20,299
180.65954893671235,14,282
181.70040285057814,14,287
182.74368146260912,9,284
183.88236133438696,6,273
184.8975774510686,16,274
185.94133170115344,18,262
187.08876787924828,24,264
188.17431051402679,46,258
189.19655914545405,35,266
190.22907265553076,46,277
191.23607050661013,75,292
192.23974116041714,109,320
193.24285604096468,83,320
194.28209626218361,34,349
195.34713203336423,38,330
196.44247416544812,12,291
197.5839644430132,27,269
198.61676677535033,52,268
199.6402156824312,85,284
200.64135522875105,95,323
201.67919642324654,55,341
202.7424329816601,42,348
203.83974727421304,42,337
204.8413618196043,35,331
205.88500177289285,41,313
206.93143045702627,30,308
207.941726558005,25,287
208.96914918624682,17,277
210.05109506582457,13,266
211.1056089670421,12,238
212.13459006559847,37,238
213.13644726076612,39,246
214.1490290497239,75,249
215.16407055794977,63,262
216.186556931071,75,285
217.21892291707485,66,291
218.2449049071527,60,293
219.27287533005395,66,296
220.2786437347708,99,305
221.30348764193823,85,337
222.32923524445022,74,360
223.38002985495297,40,394
224.53855542994498,12,364
225.59762189322865,13,341
226.64498012183196,16,317
227.6587681090206,8,299
228.7630465373667,11,285
229.76416345454786,19,274
230.8028091845167,49,268
231.8278080801914,50,288
232.83310784547766,41,292
233.92054185501974,43,295
234.93039971440624,29,290
