Time,Parasites,ImmuneCells
0,80,200
1.0345576447845222,62,206
2.0841127111344333,41,213
3.1031183879078212,35,198
4.147650585004037,34,187
5.148645406135383,46,193
6.15898960822687,77,185
7.163565231038878,98,199
8.175163222743802,82,224
9.190325243031097,76,230
10.221412881842504,55,225
11.227634666531008,58,205
12.243438167548325,65,183
13.244141786904873,82,199
14.25680408261605,52,222
15.275828389140528,51,209
16.29814500678121,40,200
17.33544687643571,36,205
18.37433989414336,37,181
19.388564622514874,31,177
20.388737798683444,63,151
21.40605796477385,81,183
22.41691703849019,90,197
23.426746048489427,90,219
24.445594423852672,50,218
25.452172077110276,27,187
26.460076417074756,51,177
27.479365752964995,67,177
28.50549439915206,63,186
29.53350925532317,50,168
30.55940776665003,67,181
31.571314043487988,91,195
32.57892840453031,68,221
33.6041287774016,58,227
34.62470155794126,59,234
35.65788934814052,29,232
36.67551507770523,34,218
37.71041987269792,25,184
38.72929185643235,63,167
39.729542704721716,77,174
40.73036577212461,99,208
41.74362817003159,41,209
42.750663334889516,36,194
43.76721887199665,48,176
44.78173370565301,85,185
45.79891393823273,90,207
46.81441333733239,80,233
47.86002582221696,45,221
48.884758882050846,36,196
49.90607992546556,36,190
50.94650114106445,28,162
51.97452665029301,56,163
52.99802733700023,63,172
54.025589230216475,68,185
55.041316939895665,88,211
56.05191977223786,46,231
57.09933238416193,33,215
58.14101934222707,10,212
59.14636935903275,7,174
60.15887794140905,6,163
61.16126104283375,21,140
62.16178577764844,33,141
63.162147278309256,90,136
64.16305791838593,147,188
65.16903372282351,134,253
66.19820467667179,52,258
67.26261719036644,30,222
68.32570747732537,21,202
69.36592907430665,10,187
70.38961853816647,33,158
71.41519505074136,29,166
72.42378624684473,52,167
73.4241602200186,78,174
74.42803681061623,132,204
75.44315270808819,85,259
76.48348496762067,38,246
77.48687652418833,45,206
78.50180613975286,56,175
79.51956465226381,45,175
80.56867441351112,20,173
81.57017768949112,18,153
82.58005460246133,31,124
83.58397961391319,74,135
84.58562168739155,116,162
85.59128725982845,108,192
86.60886222665225,77,223
87.64187237775144,53,201
88.68763366667591,37,202
89.72513357768732,44,186
90.75524585620582,51,174
91.77669252815613,77,178
92.77999101401957,113,219
93.793818414669,70,212
94.8120913866646,85,217
95.82258274632699,66,240
96.84243671683278,19,224
97.85001887024383,12,190
98.85118230289024,9,174
99.8521428477711,14,154
100.00060908315945,15,153
