Time,Parasites,ImmuneCells
0,80,200
1.0380661349923619,170,363
2.0864482877934734,316,590
3.1194070340277427,392,973
4.151404994997414,320,1355
5.172365219566225,209,1653
6.175643272037129,86,1768
7.181210434845698,33,1738
8.19165263112827,14,1636
9.19562933632875,10,1490
10.24709008239593,6,1397
11.287012463372427,1,1322
12.287214061318878,0,1270
13.291267158942679,0,1195
14.291463864372528,0,1146
15.291902599394687,0,1122
16.292073352835143,0,1135
17.293614722609277,0,1139
18.294317827149733,0,1127
19.29938738492657,0,1083
20.299586299969558,0,1078
21.302395733948163,0,1048
22.306909083193595,0,1039
23.306958681456187,0,1061
24.3093330728244,0,1038
25.3101110950356,0,1061
26.310262057295624,0,1060
27.313430988905377,0,1083
28.315326710095253,0,1055
29.31559075026674,0,1036
30.319132786301576,0,1031
31.328455440015702,0,1071
32.32879924631051,0,1051
33.331636004239805,0,1017
34.333420962479565,0,1001
35.33967540620641,0,1010
36.33985274209689,0,991
37.34358216791478,0,986
38.345388847879995,0,998
39.3463205616036,0,1026
40.3465754525221,0,1017
41.34882987220976,0,1015
42.35654456450318,0,1031
43.35924458709913,0,1012
44.36294971997597,0,1008
45.36320584032413,0,1006
46.363662926400636,0,960
47.36371541125589,0,947
48.36961567681259,0,963
49.3696357888412,0,992
50.37353446608696,0,978
51.37395011141588,0,976
52.37460551728344,0,995
53.375070247359,0,1010
54.37728000779326,0,1024
55.38082362596989,0,1021
56.38310044290062,0,1027
57.38536734284175,0,1038
58.38565824355322,0,1043
59.38872038291452,0,1039
60.38949432565244,0,1031
61.39472603844198,0,1009
62.398340067956,0,982
63.39869952557967,0,994
64.39917911407875,0,1016
65.40070786660245,0,1027
66.4012362593996,0,1052
67.40317678665654,0,1040
68.40806589228369,0,966
69.41438775422994,0,967
70.41730302738377,0,961
71.41982351384307,0,997
72.42071865888278,0,1010
73.42241866108567,0,1028
74.4261461008971,0,1031
75.4272585118891,0,1061
76.43166361283089,0,1055
77.43718825664733,0,1037
78.43830630507425,0,1025
79.44409629468534,0,1019
80.4478738398017,0,980
81.45007572916438,0,957
82.45155398887209,0,981
83.4548908330133,0,978
84.45551303047078,0,941
85.45718459412193,0,957
86.45724548330017,0,977
87.45966649899083,0,993
88.4637155272946,0,1017
89.463853422558,0,995
90.46696756178616,0,987
91.47746140578187,0,985
92.48347663986787,0,995
93.48407056610678,0,988
94.48444194410982,0,962
95.48543634984746,0,965
96.48977266825707,0,967
97.49399788760766,0,1024
98.49720016573256,0,1010
99.50315797983754,0,1003
100.00030672996141,0,1009
