"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"theta[1]",3.61596510493208,1.30108270100705,1.8400548034783,1.59424944220209,2.00575425088258,3.36923691867315,4.97944809419206,6.13113685065326,2.00010000500025,15644361.7935934,2.14292199530797,0,2.14292199530797,2.14292199530797,2.14292199530797,2.14292199530797,2.14292199530797,1.59424973172877,2.77005841453097e-07,1.59424926941422,1.5942495716315,1.59424968993444,1.59424988924253,1.59425027635157,4.59555184203833,0,4.59555184203833,4.59555184203833,4.59555184203833,4.59555184203833,4.59555184203833,6.13113685065326,0,6.13113685065326,6.13113685065326,6.13113685065326,6.13113685065326,6.13113685065326
"theta[2]",0.270902275774605,0.115186179042562,0.162901929199065,0.146018320009618,0.175264707329516,0.193358354496907,0.28899610160338,0.55087392751507,2.00010000500025,6903877.92163144,0.146018320009618,0,0.146018320009618,0.146018320009618,0.146018320009618,0.146018320009618,0.146018320009618,0.201703352470916,6.23100649169984e-08,0.201703242746796,0.201703305690504,0.2017033413583,0.201703398711503,0.201703464503521,0.55087392751507,0,0.55087392751507,0.55087392751507,0.55087392751507,0.55087392751507,0.55087392751507,0.185013503102815,0,0.185013503102815,0.185013503102815,0.185013503102815,0.185013503102815,0.185013503102815
"theta[3]",3.75687570606544,1.80984903795128,2.55957704554463,0.450651668023538,1.6776180022343,4.05325945531555,6.13251445240922,6.47033483812813,2.00010000500025,12476850.1278391,6.01990765716958,0,6.01990765716958,6.01990765716958,6.01990765716958,6.01990765716958,6.01990765716958,2.0866086609405,1.24314981140084e-06,2.08660693856973,2.08660741851666,2.08660917781122,2.0866098310229,2.08661084364014,6.47033483812813,0,6.47033483812813,6.47033483812813,6.47033483812813,6.47033483812813,6.47033483812813,0.450651668023538,0,0.450651668023538,0.450651668023538,0.450651668023538,0.450651668023538,0.450651668023538
"theta[4]",2.00741369336585,1.90067310734119,2.68802488750194,0.175164385992815,0.361330885309791,0.603205656029859,2.24928773695617,6.64807958777339,2.00010000500025,28674965.8597201,6.64807958777339,0,6.64807958777339,6.64807958777339,6.64807958777339,6.64807958777339,6.64807958777339,0.423387013013428,3.44061152562181e-07,0.42338645507229,0.423386717928157,0.423387037621282,0.423387305842513,0.42338748580314,0.175164385992815,0,0.175164385992815,0.175164385992815,0.175164385992815,0.175164385992815,0.175164385992815,0.783023786683766,0,0.783023786683766,0.783023786683766,0.783023786683766,0.783023786683766,0.783023786683766
"z_init[1]",1.63974251714282,1.35842875493114,1.92115639825171,0.156169864905465,0.181917597022473,0.770757044298205,2.22858113643381,4.86128940882068,2.00010000500059,3022971.54118814,1.3510139142016,0,1.3510139142016,1.3510139142016,1.3510139142016,1.3510139142016,1.3510139142016,4.86128611506939,2.20647255755059e-06,4.86128295071175,4.86128430237714,4.86128560609887,4.86128757027313,4.86129119387466,0.156169864905465,0,0.156169864905465,0.156169864905465,0.156169864905465,0.156169864905465,0.156169864905465,0.190500174394808,0,0.190500174394808,0.190500174394808,0.190500174394808,0.190500174394808,0.190500174394808
"z_init[2]",0.488339665217927,0.220642383573406,0.312043252462664,0.209246914505003,0.220595109409727,0.383464674108962,0.651209850448624,0.977181798859912,2.00010000500025,3836804.62379154,0.224377841044635,0,0.224377841044635,0.224377841044635,0.224377841044635,0.224377841044635,0.224377841044635,0.542552106462157,2.57080863814514e-07,0.542551626216313,0.542551902001672,0.542552168229126,0.542552316122118,0.542552498013124,0.977181798859912,0,0.977181798859912,0.977181798859912,0.977181798859912,0.977181798859912,0.977181798859912,0.209246914505003,0,0.209246914505003,0.209246914505003,0.209246914505003,0.209246914505003,0.209246914505003
"sigma[1]",1.87461080423161,1.72746469701224,2.44306508042593,0.236254678010821,0.335283091389836,0.585880077254642,2.12520646438486,6.09043000883726,2.00010000500026,3782315.03485684,0.236254678010821,0,0.236254678010821,0.236254678010821,0.236254678010821,0.236254678010821,0.236254678010821,6.09042838440634,1.64897518703339e-06,6.09042459090258,6.09042766129584,6.09042875158011,6.09042952060158,6.09043075056426,0.803467591993109,0,0.803467591993109,0.803467591993109,0.803467591993109,0.803467591993109,0.803467591993109,0.368292562516174,0,0.368292562516174,0.368292562516174,0.368292562516174,0.368292562516174,0.368292562516174
"sigma[2]",2.58392463950146,1.4915089501028,2.10936492041844,0.196161659049953,1.33932162733751,2.0943023054007,3.33890754659257,5.95092949963439,2.00010000500025,8226610.39061877,0.196161659049953,0,0.196161659049953,0.196161659049953,0.196161659049953,0.196161659049953,0.196161659049953,2.46823244922146,5.5995977837957e-07,2.46823089676375,2.46823214583879,2.4682324346868,2.46823287031361,2.46823342748659,5.95092949963439,0,5.95092949963439,5.95092949963439,5.95092949963439,5.95092949963439,5.95092949963439,1.72037495010002,0,1.72037495010002,1.72037495010002,1.72037495010002,1.72037495010002,1.72037495010002
"z[1,1]",7.01670086783854,NA,4.66398514837044,0.911446395926506,0.911446395926506,7.90774316830433,12.2309079026165,12.2309217116282,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2309130392848,5.86181376561104e-06,12.2309042786989,12.2309079029517,12.2309121002591,12.2309182243868,12.2309229486526,0.911446395926506,0,0.911446395926506,0.911446395926506,0.911446395926506,0.911446395926506,0.911446395926506,7.90774316830433,0,7.90774316830433,7.90774316830433,7.90774316830433,7.90774316830433,7.90774316830433
"z[1,2]",32.0447938287362,NA,2.26884005019246,29.6250127978256,29.6250127978256,31.4299406448793,35.0794282166598,35.0794282166598,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4299404717233,1.19284839729794e-06,31.4299384483221,31.4299393168998,31.4299406448793,31.4299415379296,31.4299423282207,29.6250127978256,0,29.6250127978256,29.6250127978256,29.6250127978256,29.6250127978256,29.6250127978256,35.0794282166598,0,35.0794282166598,35.0794282166598,35.0794282166598,35.0794282166598,35.0794282166598
