"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3"
"theta[1]",34.9461907971674,0.00620516128639841,1.00443267398736,32.9744071466462,34.2590939007766,34.9486849321833,35.6239242178996,36.9020158861579,26202.0647167776,0.999956216634237,34.9545667093191,1.01001921285467,32.970203007264,34.2609141717789,34.9626118840439,35.6337599685705,36.9072181694712,34.9411847852094,0.989486053195466,33.0205451318103,34.2579860086224,34.9334187003729,35.6116578836101,36.8765964736996,34.9428208969736,1.01367092497992,32.9407742807247,34.2589797734555,34.9484647665995,35.6281405083153,36.9217424818645
"theta[2]",4.18192281822331,7.92169419146927e-05,0.0118403611108822,4.15848090622049,4.17427064888244,4.18193231335599,4.18972144359024,4.20483988122601,22340.5442931487,1.00006394708777,4.18195598477821,0.0119402645238999,4.15837033782965,4.17422952291745,4.18209434569819,4.18986438080783,4.2047599941542,4.1818575418016,0.0116526420272858,4.1590184487007,4.17422051582879,4.18164548746562,4.18954414202981,4.20475312948139,4.18195492809011,0.0119268654520585,4.15781437727443,4.17433863404038,4.18201119665123,4.18976332753124,4.20503001935456
"z_init[1]",4618.72719901543,14.674457523103,1969.96728938141,2233.00389057545,3327.55461368405,4188.24949090535,5406.89524052757,9501.53612307075,18021.6237711976,1.00012731210707,4587.75346001776,1951.20974431206,2219.3258102577,3327.51763644517,4184.25931434964,5331.50940724044,9409.57348032116,4636.56922467782,1952.56070303283,2220.8192272047,3330.34067315221,4205.31665701209,5460.67916344892,9500.44234718079,4631.85891235071,2005.47414167003,2268.93275656007,3325.46521448013,4181.52597833112,5428.36441576998,9611.27260965796
"z_init[2]",255.746008795762,0.280683355689,38.8651178746971,194.220928804436,229.307543753355,250.727352445157,276.585378050891,345.613333406119,19172.8492834035,1.00014724533144,256.624584140632,39.6734742022182,194.043785909545,229.305720471436,251.584989162081,277.631676788662,350.635560562516,255.229811170626,38.1912565381639,194.553694821112,229.219080452945,250.502058186214,275.911445299947,341.540160313363,255.383631076029,38.7048817525559,194.192216835207,229.49968698716,250.287477514605,276.343632176298,345.367377072662
"sigma[1]",30.6232533258665,0.027464921275965,4.45228274962878,23.3916866182302,27.4875255375485,30.0846292274617,33.2442613622352,40.7412371443159,26278.9952994595,0.999917349949082,30.6258036030716,4.43137612753784,23.3884365769644,27.5001651295885,30.1059161251168,33.3127517374482,40.5088199019515,30.6031971122712,4.37375327058316,23.4175131915702,27.5428396471973,30.0786538243689,33.1734640462851,40.4161472729553,30.6407592622566,4.55026402180737,23.3872672806099,27.4035068295588,30.069339878392,33.2570086414781,41.1780645540146
"sigma[2]",0.175041296891254,0.000247280414534721,0.0340169379190543,0.123076039743872,0.151024507631022,0.170117670527615,0.193745108480144,0.255285716825142,18923.9152609689,1.00013277142705,0.174984978799205,0.0340927335547452,0.12298101056366,0.150982661975466,0.170184428716601,0.193897449240057,0.253831419133734,0.174788986440545,0.0337889493601375,0.123210356490384,0.150876466159398,0.170002029913611,0.192718238551536,0.256670306417808,0.175349925434012,0.034168962078904,0.122976383773412,0.151175306956853,0.170147998806573,0.194563882801022,0.255276278482197
"z[1,1]",45420.8730420365,178.333907481203,23837.7144663051,16721.2249693158,29780.9075846326,40176.445892429,54798.5408566267,104646.975264055,17867.4006423598,1.00013604192905,45028.5791786976,23630.7462916888,16537.6127134427,29778.1326729602,40044.5464312426,53991.5443220995,104061.31332177,45646.8155631046,23602.8000254082,16668.8684300158,29919.445453874,40299.2089510767,55593.2769722803,104540.877721697,45587.2243843073,24271.1056969104,17134.0312518542,29663.3615677962,40222.4383357165,54980.4839316842,105831.624108776
"z[1,2]",170.600231018901,0.0935172696780089,16.7972947483737,137.186145784187,159.839609361186,170.656044711291,181.408289471397,203.623032076314,32262.2794447111,0.999924445233047,170.709230499352,16.856173768676,136.908690634763,159.826520596652,170.842730779622,181.455273349149,203.535294251346,170.546088539436,16.7844200858746,137.290516706452,159.841966564415,170.417117967817,181.502080040184,203.745788159576,170.545374017915,16.7522712773617,137.439285569549,159.854688421978,170.698250119165,181.30309541221,203.475394888238
"z[2,1]",543464.665980913,2169.75678057721,289959.763602294,194791.874653234,353353.739080128,479604.892618365,657143.658635974,1264688.16086557,17858.8449008776,1.00013652047992,538682.491511501,287452.726937866,192214.780686437,353149.03997078,477563.2438496,647736.458938536,1258137.98773549,546218.345914764,287077.48523141,193936.566549756,354986.101785239,480845.875454264,666714.809501588,1263335.30824327,545493.160516473,295245.131366731,199670.681285791,351938.507570194,480222.278789679,659301.137930311,1278673.60975372
"z[2,2]",167.677973306437,0.0817620642546215,14.2346629629237,138.75142411685,158.628120639789,167.919160422161,177.060748002348,195.050792601241,30310.3312227703,0.999928081329944,167.714382414969,14.2401815974734,138.637342447818,158.649647806573,168.089335158666,176.978728166132,194.796607559914,167.671018543081,14.2868336060509,138.872327593316,158.587788744,167.780347509496,177.225869061052,195.316726455821,167.648518961262,14.1781095352096,138.865184135659,158.640969664332,167.874807316962,176.957173874125,194.885470517584
