"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"theta[1]",1.12806097704439,0.715758299525697,1.1857833645274,0.0150477265515514,0.251135314776951,0.364657100381739,1.65681418502677,4.60107804947493,2.74459281118614,2.04027783746443,0.328986221963619,1.89023264730844e-08,0.328986184960827,0.328986206862661,0.328986227327384,0.32898623883906,0.328986247942475,1.65614695375451,0.000745165448857233,1.65504080251934,1.65557737904648,1.65597875962102,1.65676667469649,1.65762917099565,0.0156521221494803,0.000499379060120225,0.0147800305270531,0.015311758143049,0.0156133739995964,0.0159583323465329,0.016757955292181,2.51145861030996,1.24727910786199,0.907338587553858,1.6737976441369,2.23296243198274,2.94443861723162,5.21947029799175
"theta[2]",2.31436259859492,1.5679675113722,2.26844032498329,0.136353305154552,0.599344447776284,0.754852419319547,5.82264107909232,5.82264160782617,2.09305479621967,4.8413979461971,5.82264140363435,1.57254505369528e-07,5.82264110158022,5.82264130046556,5.82264140544711,5.82264150775893,5.82264170746274,0.700891048098234,0.00100150705690081,0.698989833431439,0.699865864872911,0.701379595775916,0.701658848488335,0.702211026047867,0.168095769207704,0.0270559064030982,0.122884647847424,0.149136160277414,0.165300515875276,0.183945355942673,0.22901297002083,2.56582217343938,1.00056722548894,1.24694569971805,1.87489025630693,2.33424484589169,3.17460726639478,5.11597773958089
"theta[3]",1.02871307134462,0.431471214681734,0.645428951090967,0.0751139096253763,0.281552263737616,1.61776796770916,1.63741838346701,1.64158300577571,2.23765552156883,3.3739693993503,1.61776811607317,9.66348889190234e-08,1.6177679736568,1.61776802959048,1.61776809571174,1.61776820314816,1.61776830290658,1.64027963434955,0.00105233989027974,1.63774209699309,1.63954688624108,1.64042422954968,1.64106858684602,1.64196548016661,0.270906176316635,0.0252697531227702,0.22835627441211,0.25326261683697,0.26842814126884,0.285674659605438,0.327885853564207,0.585898358639141,0.417486077268878,0.0547534906551031,0.223811819953923,0.518977713420382,0.95340552921123,1.39721768525396
"theta[4]",2.47715858798497,1.94647445895084,2.75427983110812,0.23222641207001,0.396801073943636,1.63995736316824,3.24561453382452,7.12231056382335,2.0022518562813,33.0800875075756,1.95593697534657,1.16244025064859e-07,1.95593675074851,1.95593688860925,1.95593699618649,1.95593708075918,1.95593713878163,7.11908398089972,0.00235607208613885,7.11566406956802,7.11723265670962,7.11875947788711,7.12058745396703,7.12496699191839,0.396163780044102,0.015301205689457,0.367702038735565,0.385923658938902,0.395221930270262,0.405501602398596,0.428521777905597,0.437449615649488,0.182041756207273,0.215625947070416,0.289697262047209,0.412936512033521,0.519538801848644,0.91574303528118
"z_init[1]",28.9263812774966,20.5298874817752,43.8217450178532,0.2955712322178,0.387391308003977,5.94846504947829,47.7923951577346,135.856070847482,4.55623584877507,1.39273472194363,0.295571250917217,1.35639443469308e-08,0.295571228868386,0.295571238436002,0.295571252878887,0.295571262691027,0.295571274303716,0.41860549563183,0.000292417046416911,0.418091213129702,0.418432430295694,0.418575970188482,0.418729601705705,0.419203249878233,48.7427164101586,4.7965156562776,39.6555799453377,45.5613907961178,48.6044117848727,51.7994471319479,58.5934148726456,66.2486319532787,65.1195439813036,21.5206692060547,32.577366585536,42.7337960789308,70.8111503139858,274.788677120745
"z_init[2]",96.7388598008286,67.9274498329376,96.4155431073654,0.259491886065083,0.935954651705614,69.6860436972408,192.515719781651,212.127727872407,2.0146679758191,12.1319373401763,0.259491906847945,1.41806431704125e-08,0.259491880754761,0.25949189790202,0.259491906437906,0.259491917561512,0.259491933226933,1.16372669789834,0.00105998883522609,1.16176396583166,1.16297041981449,1.16370803587555,1.16453538015638,1.16559105613178,191.219211538593,5.95287519114338,179.954338170726,187.190243664516,191.06746926057,195.159698904734,203.281705958189,194.313009059976,16.0425934949118,160.5831851656,184.038827154051,196.368140561467,202.736378925666,228.580781975551
"sigma[1]",7.47245105322743,6.91069869944398,9.94630192383864,0.203682356140383,0.916775005230515,2.71969783834296,7.7558262389142,29.1369096535007,2.07147339364919,5.60034669250652,1.01001174420384,8.30195818218224e-08,1.0100115931613,1.01001170330932,1.01001173776511,1.01001179314771,1.01001188792123,4.46085116864597,0.0205035977678698,4.43248626938971,4.44385735460289,4.45694785075714,4.4817157772076,4.49900434667818,0.259119112167322,0.0490855504909444,0.184381428335336,0.225105133294667,0.251906739198241,0.285714499877448,0.374995491907249,24.1598221878926,3.79091463639044,18.9861992186563,20.9769439963123,23.6711194717529,26.4520177945666,32.6015445967274
"sigma[2]",1.7699342357026,1.24978193093402,1.76756750644739,0.0699999895726632,0.117525552067961,1.40290604746646,2.96650376088016,4.32567062496114,2.00024657567033,121.549097225497,2.52036291671,2.42135483789383e-07,2.52036253619373,2.52036270232447,2.52036287442648,2.52036317086397,2.52036325195089,4.3177557001968,0.00612586321669687,4.30641024808702,4.31448618496462,4.3165946268891,4.31995611433711,4.33380194447766,0.0886292640175333,0.016269022254754,0.0632857517641816,0.0773428546075415,0.0862892123714325,0.0976265508461642,0.126025675335342,0.152989061886078,0.0270093064312126,0.11176696173487,0.132980975147602,0.147392996389704,0.166468974550654,0.216326609545763
"z[1,1]",116.95765956276,98.6910672874952,429.914693886577,0.0067599501742622,0.540828816195353,7.14243133154886,44.2901021664701,1282.16939860021,18.9761841674353,1.11732762861849,0.718829213343924,5.04882801077945e-08,0.718829133559496,0.718829165966996,0.718829224906477,0.718829246512334,0.718829304135342,0.00678150106475936,1.57081093200723e-05,0.00675639171160815,0.00676545479363265,0.00678479752476265,0.00679303702581658,0.0068117837430749,43.069634084711,3.96003587735233,35.7255618357293,40.3770632403632,43.034974705201,45.586992011957,51.3289654789661,424.035393451922,782.552556336242,23.5410363653456,35.1385079475101,69.7237547402828,438.322457252408,2962.4357926084
"z[1,2]",99.350873620746,62.8644584797715,89.1458618206011,4.9497034179451,13.429501562422,81.4149817753179,186.8769783449,205.729307343269,2.01090714897022,13.9624898402463,16.2542965382139,7.23117503022785e-07,16.2542955241263,16.254295886308,16.2542963957937,16.2542970953439,16.254297883857,4.95197738843896,0.00167433688761327,4.94780053380435,4.95090299953406,4.95220190019218,4.95329612874445,4.95440952775823,184.234315003758,5.18640550032182,174.468124307483,180.713484144592,184.041487252757,187.672991258692,194.742434015017,191.962905552573,12.7233754050652,165.334854979162,184.105238889375,192.632441357704,198.362651011868,219.000022015253
