"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"theta[1]",1.80190902756961,0.565625841785252,1.33111697392119,0.437307669521515,0.437307669521515,1.57462302517839,2.45060392017322,5.21362555517107,5.53826786519718,1.28005011131792,2.19856734234181,1.26772420343409,0.586342271945755,1.4482693314695,1.78558232126412,2.6869405485303,5.71484967334819,0.437307669521515,0,0.437307669521515,0.437307669521515,0.437307669521515,0.437307669521515,0.437307669521515,2.2331116382175,1.23713258149465,0.845226709966856,1.35550964061155,1.91082077444629,2.72640325467456,5.59930691697148,2.3386494601976,1.2069173477256,0.637002057641895,1.49668094392601,2.06645414584766,2.92094390155426,5.26916073201957
"theta[2]",2.78401275782916,0.32099265994077,0.99909731319631,1.13915826460774,1.97264590363117,2.7619684358788,3.56524559753792,4.80584395862627,9.68780478383607,1.14124362495195,2.52442787822904,0.9949006115596,1.14700339644447,1.75528264465787,2.43132152573729,2.97410573809169,5.048219528379,3.56524559753792,0,3.56524559753792,3.56524559753792,3.56524559753792,3.56524559753792,3.56524559753792,2.45627706747494,1.04586171728324,0.955175137843652,1.62340881419819,2.35097598527777,3.01189050542795,4.93069358153805,2.59010048807476,1.04241225238217,1.09730379124127,1.81174887230592,2.42912602539581,3.16500095762518,5.08571731815675
"theta[3]",0.715146855163183,0.206351053600019,0.344068314408164,0.247511587236246,0.430983928825419,0.604134161371555,1.20559189081939,1.20559189081939,2.7801996118787,1.85011469553056,0.552194626599247,0.217403143187459,0.253621279612467,0.382033718410004,0.52909178401634,0.6480282312892,1.08812829468216,1.20559189081939,0,1.20559189081939,1.20559189081939,1.20559189081939,1.20559189081939,1.20559189081939,0.536294449129492,0.230109091908373,0.208800223233659,0.351924769476438,0.508489053629918,0.656069793467434,1.08422382626018,0.56650645410461,0.228361956895804,0.239565363220876,0.397274167945205,0.5301964666403,0.694188754452154,1.11440869363662
"z_init[1]",67.2356562052442,27.2131240701773,96.4554426902571,1.73895228526446,8.66316639376726,44.528904408106,76.2120977562368,317.943910018447,12.5630958662859,1.10355516906994,84.6026168769243,104.08862725036,21.3411291383455,35.433627427231,53.0829612290385,88.1590002957363,354.801114819342,1.73895228526446,0,1.73895228526446,1.73895228526446,1.73895228526446,1.73895228526446,1.73895228526446,86.0960000395843,94.5405255897225,22.8881224052479,38.512327544445,60.3275358965131,91.2646207630222,337.924078085408,96.5050556192038,107.891739584301,22.1569112782685,39.7226542321404,60.6351480003705,109.220204837351,374.447436117199
"z_init[2]",147.789596901755,58.3632076462555,83.6557321777653,5.315602474075,96.5359760746464,187.637748729461,203.039963013969,227.466818460088,2.05453291709318,5.92289116281775,195.051662444893,17.0753789824171,162.940362977796,183.418765903653,195.000422808604,205.557186319565,231.738056691413,5.315602474075,0,5.315602474075,5.315602474075,5.315602474075,5.315602474075,5.315602474075,197.814954014742,17.0167272545901,161.701904999538,186.83431841511,198.605119538885,210.453187805401,229.760239714149,192.976168673309,18.2886772016918,157.807468025025,180.246167576053,193.324409936961,204.784077603388,228.372279048213
"sigma[1]",19.5951967484199,7.83995686494185,11.5897610399174,0.573340518244441,12.4390975681254,23.5883272448883,27.4282665081272,34.6673224091596,2.18535309244094,3.37794044552644,25.7579489335041,4.02389462048311,20.0884548299384,22.5753168558997,24.9956182945088,28.1311043870827,35.1062946199359,0.573340518244441,0,0.573340518244441,0.573340518244441,0.573340518244441,0.573340518244441,0.573340518244441,25.4882126545126,4.52285948252754,17.5988648566061,22.9153911650077,25.3281968702009,28.0872811512009,35.1261145176538,26.5612848874186,4.19162238046622,19.7241721092361,23.4654429061152,26.138957993347,29.1596185345338,35.9172294988899
"sigma[2]",0.319747817917599,0.202109100034806,0.286528109673292,0.11505007474464,0.140966994365062,0.162019964644658,0.471092938646806,0.814498656948733,2.00984577285654,13.7446348524337,0.151579109541173,0.0249183637820598,0.113393573870098,0.133852938087988,0.145914068087062,0.162977889403456,0.213434805687364,0.814498656948733,0,0.814498656948733,0.814498656948733,0.814498656948733,0.814498656948733,0.814498656948733,0.157953732628284,0.0247080571783545,0.117368194202047,0.139891747319944,0.153952057956578,0.174791545193645,0.213970127265336,0.154959772552207,0.0276129319824843,0.111597443957739,0.137126796763636,0.151901519136578,0.169994226293058,0.221641110896351
"z[1,1]",511.488834429441,185.376305436064,1118.71734409488,5.05820993228671,11.6560421170679,85.132516543517,506.370983920226,3473.82214601295,36.4193589996261,1.04519915672798,635.633384634087,1270.41214688522,28.6012675224959,53.3787100915632,161.612467768121,675.460188429227,3869.75966939617,5.05820993228671,0,5.05820993228671,5.05820993228671,5.05820993228671,5.05820993228671,5.05820993228671,617.424300297808,1153.99983683548,34.0928062311762,64.5866832447812,177.612432245198,678.320394540798,3702.71658764857,787.839442853584,1304.3446837344,33.9847063254746,87.1052648486542,311.116565329734,923.111504281678,4234.11183439628
"z[1,2]",154.117913308735,47.7046841872174,68.3345956936086,37.6456384111702,112.960784065899,186.958654192778,199.011206195692,218.638195967011,2.05191425342146,6.06775007675017,192.787702240052,13.7041385406759,166.794320774992,183.184068087554,192.679438736146,202.18318646578,222.434117671669,37.6456384111702,0,37.6456384111702,37.6456384111702,37.6456384111702,37.6456384111702,37.6456384111702,194.946266205141,13.5327204405787,166.051405079963,186.374973352905,195.744214379182,204.530120441424,220.274060225384,191.092046378578,14.5580545491618,162.934470627274,181.165931755085,191.453524973041,200.637479384336,219.16640610421
"z[2,1]",5917.194675507,2111.89318378549,13600.6028825618,8.23393309557902,18.4119346630931,583.339428767255,5782.57808127266,41931.0979634091,41.4736657388168,1.04177817508079,7352.15562638576,15489.1458874261,37.928704912461,130.357533926491,1567.40554781493,7869.46243735903,46840.2175185229,8.23393309557902,0,8.23393309557902,8.23393309557902,8.23393309557902,8.23393309557902,8.23393309557902,7095.81636096834,14080.8068508506,45.3454474470547,206.29801925481,1731.51807576752,7890.6208266363,44739.3122470923,9212.57278157833,15891.8159086978,102.345478807755,615.592728870562,3412.70972435964,10879.9180371685,51026.9283412011
